Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,21/10/2024 12:33,FALSE,Treadmill Running,0.96,86,00:22:41,103,114,0.4,82,240,23:34,04:16,--,--,0.95,6.6,5.9,268,--,65,0,43,276,"2,384",No,00:22:41,1,00:11:03,00:22:41,--,--
Running,17/10/2024 18:38,FALSE,Tangerang - Stride Repeats,10.03,616,01:04:33,166,182,4.5,162,244,06:26,04:21,9,9,0.93,8.6,7.9,251,06:25,208,0,196,325,"10,734",No,00:00:20,34,01:04:06,01:13:13,3,13
Treadmill Running,15/10/2024 18:02,FALSE,Treadmill Running,2.32,110,00:12:23,156,179,2.5,145,182,05:21,03:50,--,--,1.35,7.4,9.8,239,--,289,0,239,346,"1,828",No,03:43.2,3,00:10:12,00:12:23,--,--
Treadmill Running,15/10/2024 12:38,FALSE,Treadmill Running,0.75,77,00:19:35,103,116,0.4,75,150,25:58:00,08:05,--,--,0.97,6.4,5.8,403,--,52,0,37,113,"2,068",No,00:19:35,1,00:09:06,00:19:35,--,--
Treadmill Running,14/10/2024 12:30,FALSE,Treadmill Running,1.01,95,00:21:59,109,121,0.5,85,231,21:52,03:44,--,--,0.95,6.5,5.8,228,--,57,0,44,313,"2,254",No,00:01.7,2,00:12:28,00:25:16,--,--
Running,11/10/2024 05:10,FALSE,Tangerang Running,5.01,300,00:33:03,152,178,3.6,164,240,06:36,05:30,8,3,0.91,8.9,8,253,06:33,210,0,197,251,"5,536",No,00:01.7,6,00:32:44,00:33:36,6,13
Treadmill Running,09/10/2024 12:22,FALSE,Treadmill Running,2.3,148,00:37:43,108,120,0.7,86,135,16:25,07:50,--,--,1.02,6.1,5.9,428,--,65,0,53,175,"3,686",No,04:28.0,3,00:25:59,00:37:43,--,--
Treadmill Running,08/10/2024 12:35,FALSE,Treadmill Running,1.6,75,00:21:53,98,110,0.3,96,120,13:42,07:44,--,--,1.03,6.1,6.1,--,--,80,0,67,115,"2,352",No,06:44.9,2,00:16:03,00:21:53,--,--
Running,06/10/2024 05:45,FALSE,Bogor Running,10.09,665,01:19:25,158,177,3.8,150,240,07:52,05:08,175,161,0.82,9.5,7.7,269,07:33,188,0,169,299,"12,482",No,01:17.6,11,01:18:26,01:23:26,188,270
Running,05/10/2024 05:44,FALSE,Tangerang - Progression Run,12.01,750,01:22:44,166,188,4.4,167,243,06:53,05:40,15,17,0.86,9.3,7.8,259,06:54,195,0,187,237,"14,030",No,01:11.3,15,01:22:22,01:36:51,24,31
Running,02/10/2024 05:07,FALSE,Tangerang - Easy Run,5.15,298,00:40:18,142,156,2.7,154,179,07:49,06:23,4,17,0.8,9.9,7.8,271,07:51,176,0,162,214,"6,516",No,00:05:00,6,00:39:54,00:42:45,6,11
Treadmill Running,01/10/2024 17:47,FALSE,Treadmill Running,4.01,186,00:23:27,141,170,2.9,147,247,05:51,03:25,--,--,1.24,7.7,9.5,260,--,256,0,215,386,"3,486",No,00:02.9,5,00:20:48,00:23:27,--,--
Treadmill Running,30/09/2024 12:26,FALSE,Treadmill Running,2.51,131,00:23:58,118,126,1,103,156,09:34,07:54,--,--,1.11,5.7,6.3,412,--,93,0,89,151,"2,500",No,04:38.4,3,00:22:06,00:23:58,--,--
Running,28/09/2024 06:06,FALSE,Tangerang - Long Easy Run,10.02,637,01:09:47,164,177,4.2,166,241,06:58,05:32,11,17,0.86,9.4,8,263,06:56,193,0,187,256,"11,662",No,02:35.0,11,01:09:20,01:17:46,25,33
Treadmill Running,26/09/2024 17:40,FALSE,Treadmill Running,3.05,146,00:19:28,137,170,2.6,134,180,06:23,03:55,--,--,1.23,7.9,9.6,256,--,252,0,200,347,"2,660",No,00:15.3,4,00:15:59,00:19:28,--,--
Treadmill Running,26/09/2024 12:37,FALSE,Treadmill Running,1.69,95,00:19:34,111,125,0.6,92,141,11:34,08:38,--,--,1.1,5.6,6.1,355,--,78,0,70,106,"1,822",No,07:15.7,2,00:16:43,00:19:34,--,--
Track Running,23/09/2024 18:14,FALSE,Tangerang - Base,"10,000",626,01:09:34,160,176,4,160,250,06:57,05:10,--,4,0.87,8.7,7.5,250,--,197,0,180,266,"11,616",No,01:14.5,8,01:08:54,01:12:15,12,16
Running,21/09/2024 06:38,FALSE,Tangerang - Progression Run,10.02,622,01:07:48,164,183,4.3,166,248,06:46,04:40,11,19,0.86,8.7,7.3,251,06:46,194,0,181,295,"11,800",No,00:23.7,12,01:07:17,01:13:11,26,33
Running,19/09/2024 18:38,FALSE,Tangerang - Easy Run,7,409,00:41:01,164,178,3.9,175,247,05:51,03:56,11,11,0.95,8.2,7.8,242,05:51,226,0,220,351,"7,312",No,01:00.6,9,00:40:49,00:52:19,6,15
Running,15/09/2024 05:46,FALSE,Tangerang - Long Easy Run,15.02,904,01:44:32,154,172,4.3,165,247,06:58,05:50,38,40,0.85,8.8,7.4,254,06:56,192,0,179,236,"17,912",No,04:20.1,16,01:43:19,01:44:32,21,32
Treadmill Running,14/09/2024 09:39,FALSE,Easy Run,4.03,265,00:30:07,151,173,3.2,126,242,07:28,03:40,--,--,1.17,7.7,8.7,271,--,223,0,165,360,"3,908",No,00:03.2,8,00:24:20,00:30:51,--,--
