Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,06/04/2025 05:43,FALSE,Tangerang - LR W12,10.01,618,01:03:31,153,183,3.7,173,245,06:21,04:29,2,1,0.9,9,8.1,256,06:22,222,0,220,314,"11,046",No,00:03.8,11,01:03:17,01:16:11,13,17
Running,05/04/2025 06:03,FALSE,Tangerang - LR W12,10,626,01:00:58,161,181,4.1,171,250,06:06,04:18,--,--,0.95,8.6,8.1,249,06:05,236,0,228,342,"10,494",No,00:00.8,11,00:59:58,01:21:07,13,16
Treadmill Running,04/04/2025 18:37,FALSE,ER W12,10.04,402,00:48:56,141,167,3.1,138,248,04:52,02:31,--,--,1.59,7,10.9,246,--,338,0,275,494,"7,178",No,00:06.5,11,00:39:50,00:48:56,--,--
Running,03/04/2025 06:43,FALSE,Tangerang - RR W12,8.01,509,00:49:56,161,186,3.8,175,191,06:14,04:44,1,--,0.9,8.8,7.9,250,06:14,228,0,223,292,"8,832",No,00:11.8,9,00:49:40,01:01:21,13,16
Running,01/04/2025 06:11,FALSE,Tangerang - INT W12,12.55,823,01:22:59,165,190,4.7,165,250,06:37,02:35,2,2,0.92,8.6,7.7,248,06:33,233,0,209,473,"13,556",No,00:25.1,20,01:18:51,01:38:55,11,16
Running,30/03/2025 06:08,FALSE,TEMPO W11,15.06,972,01:43:22,164,192,5,164,245,06:52,04:57,4,3,0.9,8.8,7.7,250,06:46,225,0,204,303,"16,700",No,00:45.2,16,01:41:15,02:12:11,13,16
Running,28/03/2025 05:25,FALSE,ER W11,6.13,359,00:54:59,125,155,2.8,115,250,08:58,02:41,6,7,0.78,9,6.8,259,08:47,174,0,118,294,"7,478",No,01:42.1,7,00:54:24,00:54:59,9,13
Running,26/03/2025 18:54,FALSE,SPEED SESH W11,7.42,477,00:50:42,155,173,3.5,169,240,06:50,03:50,--,7,0.86,9,7.6,253,06:45,219,0,208,379,"8,696",No,00:03:00,9,00:49:42,00:55:17,--,11
Treadmill Running,25/03/2025 17:18,FALSE,ER W11,7.46,245,00:39:56,147,184,3,108,270,05:21,02:12,--,--,1.8,5.8,10.2,206,--,351,0,233,582,"4,158",No,03:00.3,8,00:23:49,00:40:47,--,--
Running,23/03/2025 05:56,FALSE,Tangerang - Quality Session,12.02,784,01:20:25,165,188,4.7,175,250,06:42,04:58,3,5,0.85,9,7.6,254,06:40,216,0,208,294,"13,796",No,00:10.0,13,01:20:14,01:28:28,14,18
Running,22/03/2025 07:46,FALSE,Tangerang Running,0.44,39,06:23.8,121,151,0.6,70,182,14:32,05:18,--,--,0.87,8.8,7.4,258,14:24,157,0,82,278,514,No,06:23.8,1,00:03:17,06:23.8,12,14
Running,22/03/2025 05:49,FALSE,Tangerang - FARTLEK W10,8.69,538,01:15:27,139,175,3.2,151,247,08:41,05:19,1,1,0.76,9.3,6.9,262,08:33,177,0,151,273,"11,150",No,06:15.0,9,01:14:57,01:29:13,14,16
Running,19/03/2025 19:06,FALSE,TEMPO W10,12.07,770,01:23:38,157,183,4.1,157,250,06:56,03:53,--,3,0.88,8.8,7.5,252,06:54,214,0,191,407,"13,802",No,00:53.2,25,01:22:07,01:38:36,11,15
