Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,15/04/2025 05:55,Tangerang Running,1.01,55,05:42.7,117,125,0.8,173,178,05:39,05:21,--,1,1.02,8.7,8.9,257,05:42,--,0,--,--,980,28,No,00:03.0,2,31,--,--,--,00:05:42,00:05:43,38,39
Running,14/04/2025 05:47,Tangerang - W3-D1,14.01,851,01:17:54,141,149,3.4,178,188,05:34,04:52,5,7,1,8.4,8.4,248,05:34,--,0,--,--,"13,850",26,No,00:02.5,15,30,--,--,--,01:17:50,01:17:54,34,38
Running,12/04/2025 05:32,Tangerang - W2-D4,16.01,"1,006",01:16:32,163,175,5,178,196,04:47,04:18,19,19,1.17,7.7,9,236,04:47,--,0,--,--,"13,628",27,No,00:02.1,17,30,--,--,--,01:16:29,01:16:55,32,36
Running,12/04/2025 05:19,Tangerang Running,2.01,126,00:11:49,132,143,2,179,189,05:53,05:32,3,5,0.94,8.5,8,250,05:54,--,0,--,--,"2,122",28,No,00:02.7,3,31,--,--,--,00:11:48,00:11:49,36,40
Running,10/04/2025 06:06,Tangerang Running,9.01,546,00:45:57,150,179,3.6,161,187,05:06,03:34,8,6,1.18,7.8,9,252,05:06,--,0,--,--,"7,556",27,No,00:00.7,15,30,--,--,--,00:45:47,00:45:57,32,36
Running,10/04/2025 05:59,Tangerang Running,1.02,58,05:45.3,122,136,0.9,173,179,05:39,05:11,--,--,1.01,8.6,8.6,254,05:43,--,0,--,--,992,29,No,00:05.3,2,31,--,--,--,00:05:45,00:05:45,36,37
Running,08/04/2025 06:00,Tangerang - W2-D2,12.01,727,00:54:23,165,174,5,176,184,04:32,04:19,7,12,1.25,7.6,9.5,233,04:32,--,0,--,--,"9,558",26,No,00:02.0,13,30,--,--,--,00:54:19,00:54:23,32,38
Running,08/04/2025 05:54,Tangerang Running,1.01,59,05:49.0,126,142,1.1,171,177,05:45,05:26,--,--,1.01,8.7,8.8,257,05:49,--,0,--,--,992,29,No,00:03.1,2,32,--,--,--,00:05:46,00:05:49,38,39
Running,07/04/2025 05:45,Tangerang - W2-D1,14.01,881,01:17:44,147,156,3.6,177,184,05:33,05:02,8,8,1.01,8.4,8.5,249,05:34,--,0,--,--,"13,770",26,No,00:01.7,15,31,--,--,--,01:17:41,01:17:44,32,36
Running,05/04/2025 05:52,Tangerang - W1-D4,15.01,899,01:10:13,157,174,5,177,186,04:41,04:10,11,12,1.2,7.7,9.3,236,04:41,--,0,--,--,"12,384",26,No,00:02.4,16,31,--,--,--,01:10:09,01:10:13,33,38
Running,03/04/2025 06:05,Tangerang - W1-D3,8.74,530,00:43:35,151,180,3.7,161,187,04:59,03:41,10,14,1.2,7.7,9,235,05:00,--,0,--,--,"7,238",26,No,00:01.8,13,30,--,--,--,00:43:30,00:43:35,31,38
Running,03/04/2025 05:59,Tangerang Running,1.01,59,05:50.6,124,143,1,168,174,05:48,05:16,--,--,1.02,8.9,9.1,262,05:49,--,0,--,--,984,29,No,00:02.7,2,31,--,--,--,00:05:50,00:05:51,38,39
Running,01/04/2025 06:24,Tangerang Running,10.01,600,00:44:25,164,175,4.5,179,188,04:26,04:06,9,13,1.24,7.3,9.2,227,04:27,--,0,--,--,"7,962",27,No,00:01.7,11,29,--,--,--,00:44:23,00:44:25,33,40
Running,01/04/2025 06:15,Tangerang Running,1.5,92,09:08.5,125,138,1.3,175,179,06:06,05:47,--,1,0.94,8.9,8.4,260,06:06,--,0,--,--,"1,588",28,No,02:59.1,2,30,--,--,--,00:09:07,00:09:09,37,39
Running,31/03/2025 05:42,Tangerang - W1-D1,14.01,872,01:17:52,144,157,3.6,177,186,05:34,05:15,12,12,1.01,8.4,8.5,250,05:34,--,0,--,--,"13,758",26,No,00:01.8,15,31,--,--,--,01:17:49,01:17:52,32,38
