Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,01/05/2024 17:38,FALSE,Jakarta - Quality Session,3.65,224,00:22:03,160,179,2.8,167,181,06:03,04:24,9,9,0.99,9.1,8.9,255,05:59,236,0,223,312,--,--,--,"3,718",32,No,00:59.6,6,33,--,--,--,--,--,--,--,--,00:21:50,00:22:03,18,22
Running,12/01/2024 18:08,FALSE,Tangerang Running,3.64,194,00:30:06,139,152,1.4,174,184,08:17,07:12,11,14,0.69,10.3,7.1,269,08:17,156,0,154,185,--,--,--,"5,262",29,No,05:22.9,4,31,--,--,--,--,--,--,--,--,00:30:01,00:30:06,29,37
Running,21/03/2025 18:35,FALSE,Tangerang Running,3.61,226,00:23:50,146,158,2.4,159,187,06:36,04:39,7,5,0.95,8.8,8.4,248,06:32,206,0,189,285,--,--,--,"3,842",31,No,05:43.5,4,33,--,--,--,--,--,--,--,--,00:21:46,00:26:44,24,28
Treadmill Running,05/07/2024 17:57,FALSE,Treadmill Running,3.41,212,00:20:14,155,170,2.7,172,185,05:56,04:48,--,--,0.98,9,8.9,254,--,223,0,220,280,--,--,--,"3,478",--,No,02:16.5,4,--,--,--,--,--,--,--,--,--,00:20:05,00:20:14,--,--
Running,19/04/2024 07:04,FALSE,Tangerang - Quality Session,3.24,192,00:16:55,172,187,3,165,187,05:14,03:50,16,10,1.15,8.4,9.5,247,05:11,276,0,256,363,--,--,--,"2,804",29,No,00:00.9,7,31,--,--,--,--,--,--,--,--,00:16:51,00:17:00,33,42
Running,06/10/2024 06:21,FALSE,Tangerang Running,3.21,183,00:21:13,135,146,2.1,172,183,06:36,05:52,10,10,0.88,9.4,8.3,260,06:34,193,0,191,214,--,--,--,"3,666",28,No,01:25.4,4,31,--,--,--,--,--,--,--,--,00:21:12,00:21:13,40,46
Running,21/05/2024 18:50,FALSE,Tangerang Running,3.11,181,00:22:20,141,160,1.9,175,195,07:11,05:15,8,11,0.8,9.7,7.7,262,07:10,189,0,186,264,--,--,--,"3,910",31,No,00:37.4,4,32,--,--,--,--,--,--,--,--,00:22:19,00:23:27,34,44
Treadmill Running,02/07/2024 19:19,FALSE,Treadmill Running,3.08,172,00:20:06,139,149,2,173,190,06:31,06:01,--,--,0.89,9.3,8.4,259,--,202,0,200,222,--,--,--,"3,468",--,No,00:31.5,4,--,--,--,--,--,--,--,--,--,00:19:54,00:20:06,--,--
Running,21/11/2023 17:42,FALSE,Tangerang - Easy Run,3.06,168,00:21:36,139,157,2,161,176,07:04,04:53,19,8,0.87,9.7,8.5,269,06:58,187,0,179,261,--,--,--,"3,544",31,No,00:23.0,4,33,--,--,--,--,--,--,--,--,00:21:24,00:22:52,33,49
Running,11/11/2023 06:47,FALSE,Tangerang Running,3.03,171,00:19:49,143,181,2.4,162,183,06:32,03:59,5,1,0.96,9.3,8.8,259,06:29,216,0,195,334,--,--,--,"3,232",29,No,00:10.6,4,30,--,--,--,--,--,--,--,--,00:18:41,00:25:13,34,39
Treadmill Running,27/01/2025 17:10,FALSE,Treadmill Running,3.02,139,00:17:10,135,151,1.8,187,195,05:41,04:35,--,--,0.95,8.2,7.8,236,--,209,0,206,275,--,--,--,"3,180",--,No,00:05.2,4,--,--,--,--,--,--,--,--,--,00:17:02,00:17:10,--,--
Running,09/02/2024 07:30,FALSE,Tangerang Running,3.02,175,00:16:48,173,181,2.8,174,184,05:34,04:25,4,1,1.03,8.7,8.9,247,05:33,229,0,228,300,--,--,--,"2,920",31,No,00:07.8,4,32,--,--,--,--,--,--,--,--,00:16:45,00:16:48,28,33
Treadmill Running,06/08/2024 19:32,FALSE,Treadmill Running,3.01,158,00:19:33,131,138,1.4,174,184,06:30,06:03,--,--,0.89,9.4,8.3,259,--,198,0,197,219,--,--,--,"3,376",--,No,00:02.5,4,--,--,--,--,--,--,--,--,--,00:19:31,00:19:33,--,--
Treadmill Running,30/07/2024 19:42,FALSE,Treadmill Running,3.01,134,00:19:29,123,134,0.8,174,179,06:29,05:50,--,--,0.89,9.3,8.2,257,--,199,0,197,229,--,--,--,"3,390",--,No,00:02.5,4,--,--,--,--,--,--,--,--,--,00:19:18,00:19:29,--,--
Treadmill Running,09/07/2024 19:57,FALSE,Treadmill Running,3.01,135,00:18:45,129,139,1.1,171,190,06:14,04:44,--,--,0.94,9.3,8.7,260,--,206,0,206,297,--,--,--,"3,184",--,No,00:01.6,4,--,--,--,--,--,--,--,--,--,00:18:44,00:18:45,--,--
Running,03/03/2024 19:08,FALSE,Tangerang Running,3.01,176,00:20:24,155,167,2.2,172,184,06:47,05:06,18,14,0.86,9.6,8.2,262,06:47,188,0,186,251,--,--,--,"3,496",29,No,00:04.6,4,31,--,--,--,--,--,--,--,--,00:20:22,00:20:24,32,42
Running,14/01/2024 06:32,FALSE,Tangerang Running,2.71,148,00:19:51,132,154,2,172,183,07:19,05:37,9,11,0.79,9.9,7.8,265,07:21,176,0,172,232,--,--,--,"3,434",29,No,04:50.5,3,30,--,--,--,--,--,--,--,--,00:19:49,00:20:05,26,35
Running,06/02/2024 17:14,FALSE,Tangerang Running,2.64,152,00:15:13,158,170,2.5,174,243,05:46,04:48,8,7,1,8.9,8.8,250,05:45,224,0,222,266,--,--,--,"2,642",28,No,03:33.6,3,31,--,--,--,--,--,--,--,--,00:15:12,00:15:13,27,33
Treadmill Running,14/04/2025 19:25,FALSE,Treadmill Running,2.59,126,00:15:00,137,149,2.1,185,200,05:47,05:12,--,--,0.93,8.3,7.7,238,--,205,0,204,235,--,--,--,"2,772",--,No,03:26.9,3,--,--,--,--,--,--,--,--,--,00:14:59,00:15:00,--,--
Running,05/02/2024 19:36,FALSE,Tangerang Running,2.45,140,00:14:21,159,179,2.5,172,186,05:51,04:41,9,11,0.99,8.9,8.8,251,05:51,219,0,216,263,--,--,--,"2,482",29,No,02:26.5,3,31,--,--,--,--,--,--,--,--,00:14:19,00:14:53,30,38
Treadmill Running,01/05/2024 18:10,FALSE,Treadmill Running,2.15,153,00:17:07,146,168,2.1,135,189,07:59,04:41,--,--,1,8.6,8.3,261,--,210,0,158,300,--,--,--,"2,508",--,No,00:02.2,4,--,--,--,--,--,--,--,--,--,00:13:16,00:17:07,--,--
Running,16/08/2024 19:07,FALSE,Tangerang Running,2,102,09:26.8,160,193,2.4,177,200,04:43,03:10,9,5,1.16,7.9,8.8,227,04:44,281,0,257,369,--,--,--,"1,702",30,No,00:00.6,3,32,--,--,--,--,--,--,--,--,09:24.6,09:26.8,33,42
Running,09/01/2025 19:15,FALSE,Tangerang Running,1.84,73,06:27.4,171,182,2.1,184,196,03:31,02:54,6,1,1.56,6.4,9.9,191,03:27,348,0,345,420,--,--,--,"1,172",27,No,03:03.2,2,30,--,--,--,--,--,--,--,--,06:26.2,06:27.4,40,46
Running,26/11/2024 06:26,FALSE,Tangerang - Quality Session,1.81,104,00:11:46,139,147,1.5,170,200,06:29,05:34,1,1,0.9,9.2,8.3,254,06:27,199,0,192,237,--,--,--,"2,018",29,No,05:18.5,2,31,--,--,--,--,--,--,--,--,00:11:32,00:11:46,22,25
Running,14/01/2024 07:29,FALSE,Tangerang Running,1.71,104,00:12:03,154,160,2,172,183,07:03,06:08,8,8,0.81,9.6,7.8,261,06:59,180,0,177,200,--,--,--,"2,086",31,No,04:39.7,2,31,--,--,--,--,--,--,--,--,00:12:02,00:12:03,33,42
Running,25/03/2025 18:03,FALSE,Tangerang Running,1.12,63,07:24.8,131,148,1,169,188,06:39,05:12,--,2,0.89,9,8,252,06:33,196,0,189,247,--,--,--,"1,272",31,No,00:55.6,2,32,--,--,--,--,--,--,--,--,00:07:12,07:43.4,19,23
Treadmill Running,08/10/2024 19:33,FALSE,Treadmill Running,1.09,62,06:36.2,142,151,1.3,172,177,06:02,05:04,--,--,0.98,9.1,8.9,255,--,208,0,204,257,--,--,--,"1,140",--,No,00:35.1,2,--,--,--,--,--,--,--,--,--,00:06:30,06:36.2,--,--
Running,31/03/2025 07:02,FALSE,Tangerang Running,1.07,62,06:58.3,137,152,1.2,167,184,06:33,04:38,3,5,0.91,9,8.1,252,06:28,200,0,192,293,--,--,--,"1,178",29,No,00:24.2,2,31,--,--,--,--,--,--,--,--,00:06:52,06:59.9,29,34
Running,19/05/2024 07:57,FALSE,Jakarta Running,0.74,55,07:11.7,140,163,0.6,154,183,09:41,05:10,2,--,0.69,10.6,7.1,284,08:50,152,0,144,271,--,--,--,"1,184",32,No,07:11.7,1,33,--,--,--,--,--,--,--,--,00:07:07,07:11.7,11,14
Badminton,11/11/2023 12:43,FALSE,Badminton,0.21,523,01:20:00,140,170,2.6,12,214,0.2,11.7,--,--,0.21,--,--,--,--,--,0,--,--,--,--,--,"2,988",--,No,00:04.2,4,--,--,--,--,--,--,--,--,--,00:03:01,01:20:01,--,--
