Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,27/04/2024 05:55,FALSE,Tangerang - Quality Session,23,"1,415",02:06:11,176,196,5,174,245,05:29,03:51,23,15,1.04,8.6,8.9,245,05:29,246,0,243,322,--,--,--,"21,972",28,No,00:01.2,24,31,--,--,--,--,--,--,--,--,02:06:01,02:07:51,30,41
Running,08/06/2024 06:00,FALSE,Tangerang - Quality Session,22.01,"1,281",01:59:22,165,178,4.5,177,188,05:25,03:59,22,12,1.04,8.4,8.6,241,05:25,246,0,243,353,--,--,--,"21,096",27,No,00:03.1,23,33,--,--,--,--,--,--,--,--,01:58:54,02:00:05,39,52
Running,20/07/2024 06:05,FALSE,Tangerang Running,22,"1,252",02:01:46,155,172,4.2,180,203,05:32,03:37,220,212,0.99,8.4,8.2,240,05:31,239,0,235,334,--,--,--,"21,920",27,No,00:01.6,23,31,--,--,--,--,--,--,--,--,02:01:30,02:02:30,28,55
Running,01/09/2024 05:16,FALSE,Tangerang Running,21.59,"1,245",01:42:39,186,194,5,177,190,04:45,04:02,30,26,1.18,7.8,9.3,230,04:45,266,0,263,339,--,--,--,"18,212",26,No,02:45.4,22,30,--,--,--,--,--,--,--,--,01:42:18,01:42:39,36,51
Running,29/09/2024 05:01,FALSE,Tangerang Running,21.44,"1,170",01:40:08,177,190,5,178,190,04:40,03:53,35,33,1.2,7.8,9.3,229,04:41,268,0,267,326,--,--,--,"17,786",27,No,01:52.9,22,30,--,--,--,--,--,--,--,--,01:40:01,01:40:22,43,55
Running,23/03/2024 05:16,FALSE,Tangerang Running,21.41,"1,288",02:02:42,165,186,5,164,200,05:44,04:14,18,19,1.06,8.5,8.9,244,05:43,243,0,230,320,--,--,--,"20,314",28,No,01:57.3,22,31,--,--,--,--,--,--,--,--,01:57:41,02:05:49,29,40
Running,10/11/2024 05:01,FALSE,Tangerang Running,21.35,"1,238",01:58:28,165,190,4.9,174,200,05:33,03:30,40,37,1.03,8.5,8.7,242,05:31,233,0,225,388,--,--,--,"20,686",27,No,02:07.7,22,29,--,--,--,--,--,--,--,--,01:57:31,01:58:28,37,49
Running,15/12/2024 05:18,FALSE,Jakarta - Quality Session,21.33,"1,181",01:38:35,178,197,5,177,190,04:37,03:29,124,114,1.22,7.8,9.5,229,04:36,281,0,279,364,--,--,--,"17,390",28,No,01:26.4,22,33,--,--,--,--,--,--,--,--,01:38:30,01:38:35,11,45
Running,01/03/2025 06:14,FALSE,Tangerang - Quality Session,21.21,"1,132",01:45:01,168,189,5,180,188,04:57,04:11,47,94,1.12,8,9,232,04:56,242,0,239,342,--,--,--,"18,826",28,No,00:01.0,23,32,--,--,--,--,--,--,--,--,01:44:56,01:45:01,37,46
Running,05/10/2024 05:10,FALSE,Tangerang - Quality Session,21.15,"1,234",02:05:31,160,178,4.4,176,197,05:56,04:00,46,44,0.95,8.8,8.4,248,05:56,213,0,211,347,--,--,--,"22,122",28,No,00:30.6,25,33,--,--,--,--,--,--,--,--,02:05:21,02:05:31,7,18
Running,12/10/2024 05:55,FALSE,Tangerang - Quality Session,21.1,"1,200",01:47:38,171,189,5,179,188,05:06,04:15,26,32,1.09,8.1,8.8,234,05:06,249,0,245,319,--,--,--,"19,238",27,No,00:30.2,22,30,--,--,--,--,--,--,--,--,01:47:21,01:47:38,23,36
Running,27/10/2024 05:57,FALSE,Tangerang - Quality Session,21.01,"1,147",01:44:34,167,187,5,182,192,04:59,04:15,46,90,1.1,7.9,8.7,230,04:58,254,0,250,336,--,--,--,"18,932",28,No,02:18.2,22,32,--,--,--,--,--,--,--,--,01:44:26,01:44:34,31,41
Running,03/03/2024 06:44,FALSE,Tangerang Running,21.01,"1,198",01:51:46,174,187,5,177,190,05:19,04:21,12,21,1.06,8.4,8.9,240,05:19,237,0,236,294,--,--,--,"19,712",28,No,00:01.5,22,32,--,--,--,--,--,--,--,--,01:51:30,01:51:57,18,31
Running,28/12/2024 05:53,FALSE,Tangerang Running,21,"1,174",02:04:01,153,168,3.9,174,194,05:54,04:29,35,84,0.97,8.8,8.5,248,05:53,256,0,218,"3,178",--,--,--,"21,586",28,No,00:02.0,22,32,--,--,--,--,--,--,--,--,02:02:42,02:04:01,26,38
Running,03/12/2024 06:01,FALSE,Tangerang - Quality Session,21,"1,202",01:44:57,175,190,5,177,187,05:00,04:09,28,21,1.12,8.1,9,234,04:59,258,0,252,325,--,--,--,"18,634",27,No,00:01.3,22,29,--,--,--,--,--,--,--,--,01:44:52,01:44:57,39,49
Running,16/09/2024 06:04,FALSE,Jakarta Running,21,"1,201",01:55:58,162,178,4.9,181,194,05:31,04:47,40,30,1,8.3,8.3,239,05:31,227,0,225,288,--,--,--,"20,886",28,No,00:01.4,22,33,--,--,--,--,--,--,--,--,01:55:45,01:56:34,6,19
Running,22/07/2024 18:45,FALSE,Tangerang Running,21,"1,235",02:01:06,158,186,4,179,190,05:46,04:16,21,23,0.96,8.6,8.3,244,05:45,226,0,224,299,--,--,--,"21,642",30,No,00:00.5,22,32,--,--,--,--,--,--,--,--,02:01:01,02:01:06,39,46
Running,30/03/2024 05:41,FALSE,Tangerang Running,21,"1,269",01:49:08,176,193,5,173,242,05:12,04:10,20,15,1.11,8.2,9.1,241,05:11,262,0,254,333,--,--,--,"18,860",28,No,00:02.7,22,30,--,--,--,--,--,--,--,--,01:48:21,01:49:08,30,37
Running,03/11/2024 05:30,FALSE,Tangerang - Quality Session,20.85,"1,190",01:48:53,169,185,4.9,178,193,05:13,04:09,35,78,1.07,8.3,8.9,238,05:14,240,0,239,339,--,--,--,"19,326",27,No,04:17.3,21,31,--,--,--,--,--,--,--,--,01:48:40,01:48:53,35,49
Running,05/11/2023 05:00,FALSE,Tangerang Running,20.53,"1,152",01:40:38,187,203,5,170,188,04:54,01:46,33,29,1.2,8.4,10.1,244,04:54,263,0,262,673,--,--,--,"17,058",27,No,02:29.3,21,29,--,--,--,--,--,--,--,--,01:40:29,01:40:38,39,54
Running,01/01/2024 06:37,FALSE,Tangerang Running,20.24,"1,130",01:47:17,172,191,5,172,194,05:18,04:10,20,19,1.09,8.6,9.4,245,05:19,240,0,238,313,--,--,--,"18,466",29,No,01:14.6,21,32,--,--,--,--,--,--,--,--,01:46:58,01:50:03,28,36
Running,06/02/2025 18:37,FALSE,Tangerang - Quality Session,20.01,"1,085",01:38:55,168,184,5,177,188,04:57,04:13,32,24,1.14,8.1,9.2,234,04:56,253,0,250,312,--,--,--,"17,488",29,No,03:36.1,21,32,--,--,--,--,--,--,--,--,01:38:45,01:38:55,23,37
Running,04/01/2025 06:37,FALSE,Tangerang Running,19.08,"1,059",01:41:28,160,175,4.2,178,194,05:19,04:04,158,164,1.06,8.2,8.6,236,05:16,244,0,240,338,--,--,--,"18,024",28,No,00:21.4,20,32,--,--,--,--,--,--,--,--,01:40:34,01:41:28,19,45
Running,12/02/2025 18:30,FALSE,Tangerang - Quality Session,19,970,01:35:46,159,179,4.2,178,200,05:02,03:38,44,35,1.11,8.2,9,235,05:02,239,0,235,345,--,--,--,"17,020",30,No,01:52.5,26,33,--,--,--,--,--,--,--,--,01:35:41,01:43:33,16,29
Running,05/01/2025 06:33,FALSE,Tangerang Running,19,"1,069",01:55:40,155,174,3.7,166,245,06:05,04:49,84,70,0.97,8.6,8.3,250,06:03,214,0,200,304,--,--,--,"19,408",29,No,00:01.5,20,34,--,--,--,--,--,--,--,--,01:53:07,01:59:20,23,47
Running,07/07/2024 19:35,FALSE,Tangerang Running,18.02,"1,070",01:38:00,165,185,4.7,175,190,05:26,04:32,12,5,1.05,8.3,8.7,240,05:26,249,0,243,308,--,--,--,"17,098",30,No,00:10.0,19,32,--,--,--,--,--,--,--,--,01:36:28,01:40:10,23,30
Running,20/04/2024 06:52,FALSE,Tangerang - Quality Session,18.01,"1,086",01:41:50,168,189,4.7,169,190,05:39,04:17,25,14,1.03,8.5,8.7,244,05:37,244,0,232,308,--,--,--,"17,356",29,No,00:01.6,19,32,--,--,--,--,--,--,--,--,01:41:38,01:42:39,23,43
Running,15/06/2024 06:35,FALSE,Tangerang - Quality Session,18,"1,057",01:43:02,158,181,3.8,175,194,05:43,04:16,26,14,0.99,8.6,8.5,245,05:43,237,0,230,318,--,--,--,"18,130",29,No,00:01.3,19,32,--,--,--,--,--,--,--,--,01:42:19,01:43:56,28,40
Running,10/08/2024 05:16,FALSE,Tangerang Running,17.83,"1,036",01:45:56,157,184,3.9,176,194,05:57,03:51,23,14,0.95,8.9,8.5,250,05:56,214,0,211,319,--,--,--,"18,580",29,No,03:45.7,18,31,--,--,--,--,--,--,--,--,01:45:53,01:45:56,39,52
Running,08/09/2024 06:13,FALSE,Tangerang - Long Run,16.53,963,01:34:47,164,183,4.6,178,196,05:44,04:41,31,57,0.97,8.5,8.2,242,05:43,222,0,216,279,--,--,--,"16,890",28,No,02:54.6,17,31,--,--,--,--,--,--,--,--,01:34:06,01:36:19,26,44
Running,26/02/2025 18:17,FALSE,Tangerang - Quality Session,16.25,861,01:20:00,169,186,4.9,180,189,04:55,03:56,9,87,1.12,8,8.9,231,04:56,243,0,239,316,--,--,--,"14,390",29,No,00:00.4,18,32,--,--,--,--,--,--,--,--,01:19:57,01:20:00,4,26
Running,03/08/2024 05:57,FALSE,Tangerang Running,16.23,969,01:36:08,153,171,3.7,179,217,05:55,02:32,162,152,0.92,8.7,8,245,05:57,222,0,219,396,--,--,--,"17,198",27,No,01:16.2,17,31,--,--,--,--,--,--,--,--,01:35:42,01:36:08,28,55
Running,04/02/2025 18:17,FALSE,Tangerang Running,16.09,880,01:25:10,163,185,4.3,169,217,05:18,03:45,23,21,1.11,8.3,9.1,238,05:18,248,0,234,345,--,--,--,"14,548",27,No,01:08.0,21,30,--,--,--,--,--,--,--,--,01:23:59,01:25:10,24,32
Treadmill Running,28/02/2025 18:39,FALSE,Treadmill Running,16.01,712,01:29:28,144,166,3,187,218,05:35,03:57,--,--,0.96,8.2,7.8,235,--,203,0,201,286,--,--,--,"16,624",--,No,00:01.2,17,--,--,--,--,--,--,--,--,--,01:29:02,01:29:28,--,--
Running,29/06/2024 05:38,FALSE,Tangerang - Quality Session,16.01,967,01:33:50,161,184,4,178,245,05:52,04:12,12,5,0.96,8.7,8.3,247,05:51,229,0,225,328,--,--,--,"16,586",28,No,00:02.8,17,31,--,--,--,--,--,--,--,--,01:33:43,01:33:50,45,54
Running,20/02/2025 18:36,FALSE,Tangerang - Quality Session,15.61,822,01:20:01,162,187,4.5,175,237,05:08,03:50,16,22,1.1,8.1,8.9,237,05:07,238,0,228,345,--,--,--,"14,070",29,No,00:01.2,25,32,--,--,--,--,--,--,--,--,01:19:32,01:20:01,15,27
Running,14/09/2024 06:10,FALSE,Tangerang Running,15.33,882,01:37:54,150,167,3.4,174,225,06:23,04:58,19,15,0.9,9.3,8.3,256,06:22,199,0,197,277,--,--,--,"17,030",26,No,02:15.5,16,31,--,--,--,--,--,--,--,--,01:37:51,01:39:04,30,43
Running,30/01/2025 17:45,FALSE,Tangerang Running,15.21,835,01:27:55,150,165,3.4,173,190,05:47,04:35,18,16,1,8.5,8.4,242,05:44,218,0,211,281,--,--,--,"15,244",28,No,01:13.6,16,30,--,--,--,--,--,--,--,--,01:26:19,01:27:55,24,32
Running,11/02/2024 05:44,FALSE,Tangerang Running,15.01,820,01:23:48,156,180,3.9,182,195,05:35,04:09,10,7,0.98,8.4,8.2,239,05:35,223,0,221,312,--,--,--,"15,154",28,No,00:01.7,16,30,--,--,--,--,--,--,--,--,01:23:41,01:28:46,37,44
Running,29/01/2025 06:43,FALSE,Tangerang Running,15,792,01:20:10,156,178,3.9,172,194,05:21,03:52,31,27,1.08,7.9,8.4,230,05:20,246,0,228,358,--,--,--,"13,922",26,No,00:02:00,19,30,--,--,--,--,--,--,--,--,01:18:30,01:20:10,25,37
Running,10/01/2024 18:06,FALSE,Tangerang Running,15,857,01:37:11,160,183,3.6,168,187,06:29,04:10,26,27,0.92,9.6,8.8,264,06:27,201,0,198,320,--,--,--,"16,358",30,No,00:01.3,16,32,--,--,--,--,--,--,--,--,01:37:00,01:48:51,22,34
Running,19/04/2025 05:23,FALSE,Tangerang Running,14.61,849,01:29:44,159,196,4.6,163,245,06:09,03:30,26,29,0.99,8.5,8.3,246,06:05,219,0,198,350,--,--,--,"14,800",29,No,03:20.9,15,31,--,--,--,--,--,--,--,--,01:27:00,01:29:44,25,42
Running,13/02/2025 18:25,FALSE,Tangerang Running,14.5,762,01:24:40,148,168,3.3,174,191,05:50,03:16,22,19,0.98,8.8,8.6,248,05:50,207,0,202,353,--,--,--,"14,744",30,No,03:05.6,15,32,--,--,--,--,--,--,--,--,01:23:55,01:24:40,23,30
Running,23/01/2025 19:29,FALSE,Tangerang - Quality Session,14.49,782,01:10:11,172,187,4.6,178,187,04:51,04:06,13,17,1.15,7.9,9.1,231,04:51,254,0,252,304,--,--,--,"12,542",28,No,00:01.5,17,30,--,--,--,--,--,--,--,--,01:10:09,01:10:11,16,26
Running,06/04/2025 06:28,FALSE,Jakarta Running,14.01,835,01:24:32,162,185,4.3,176,194,06:02,04:33,21,33,0.94,8.7,8.1,247,06:01,212,0,206,304,--,--,--,"15,000",29,No,00:02.2,15,34,--,--,--,--,--,--,--,--,01:24:12,01:25:29,-12,12
Treadmill Running,03/03/2025 18:24,FALSE,Treadmill Running,14.01,638,01:20:01,143,153,2.8,189,215,05:43,04:58,--,--,0.93,8.2,7.6,235,--,204,0,203,241,--,--,--,"15,032",--,No,00:01.7,15,--,--,--,--,--,--,--,--,--,01:19:53,01:20:01,--,--
Trail Running,24/11/2024 06:26,FALSE,Bogor Trail Running,14.01,"1,553",05:51:52,118,170,2.4,50,250,25:08:00,03:50,965,950,0.72,9.1,5.9,321,25:06:00,107,0,44,371,--,--,--,"21,588",--,No,00:03.3,15,--,--,--,--,--,--,--,--,--,02:33:05,05:51:52,344,857
Running,02/10/2024 18:29,FALSE,Tangerang - Quality Session,13.69,790,01:12:42,169,190,4.6,173,219,05:19,02:30,17,22,1.08,8.5,9,243,05:19,251,0,236,459,--,--,--,"12,608",29,No,00:05.9,28,31,--,--,--,--,--,--,--,--,01:12:13,01:12:54,16,23
Running,22/01/2025 18:36,FALSE,Tangerang Running,13.25,742,01:16:20,155,168,3.4,176,186,05:46,05:05,8,9,0.98,8.8,8.6,248,05:46,214,0,213,252,--,--,--,"13,390",28,No,01:30.4,14,30,--,--,--,--,--,--,--,--,01:16:17,01:16:20,23,28
Running,30/05/2024 20:29,FALSE,Tangerang - Quality Session,13.13,788,01:11:02,172,188,4.4,177,188,05:25,03:59,35,7,1.04,8.5,8.7,242,05:24,252,0,244,315,--,--,--,"12,488",30,No,00:01.3,24,32,--,--,--,--,--,--,--,--,01:10:54,01:11:02,35,54
Running,24/07/2024 18:22,FALSE,Tangerang - Quality Session,13.09,765,01:10:04,162,186,4.2,179,194,05:21,03:46,23,12,1.03,8.4,8.5,238,05:21,253,0,240,352,--,--,--,"12,502",30,No,00:04.4,24,32,--,--,--,--,--,--,--,--,01:10:01,01:10:05,22,35
Running,31/07/2024 18:12,FALSE,Tangerang - Quality Session,13.07,759,01:11:08,158,177,4,182,200,05:27,04:05,19,13,1,8.3,8.2,237,05:26,242,0,236,319,--,--,--,"12,824",30,No,00:01.4,24,32,--,--,--,--,--,--,--,--,01:11:00,01:11:08,35,45
Running,21/01/2025 17:53,FALSE,Tangerang Running,13.03,754,01:11:05,167,188,4.3,175,196,05:27,04:01,165,168,1.05,8.4,8.8,240,05:19,251,0,235,425,--,--,--,"12,486",28,No,01:55.8,28,31,--,--,--,--,--,--,--,--,01:10:50,01:11:06,13,47
Running,14/07/2024 17:38,FALSE,Tangerang Running,13.01,751,01:19:41,145,160,3.2,174,187,06:08,04:57,11,14,0.93,9.1,8.5,254,06:09,213,0,212,279,--,--,--,"13,822",30,No,00:02.4,14,31,--,--,--,--,--,--,--,--,01:19:35,01:19:41,26,34
Running,22/05/2024 21:00,FALSE,Tangerang - Quality Session,12.99,767,01:10:01,171,197,4.4,174,231,05:23,03:45,19,11,1.05,8.5,8.8,243,05:23,257,0,245,382,--,--,--,"12,180",31,No,00:00.7,24,32,--,--,--,--,--,--,--,--,01:09:46,01:10:01,37,43
Running,26/09/2024 06:43,FALSE,Tangerang - Quality Session,12.6,714,01:08:14,163,189,4.2,175,210,05:25,02:39,26,19,1.04,8.4,8.6,241,05:24,242,0,228,428,--,--,--,"11,984",27,No,00:00.7,24,30,--,--,--,--,--,--,--,--,01:07:55,01:08:14,33,42
Running,17/02/2024 06:09,FALSE,Tangerang Running,12.37,690,01:00:01,181,196,5,177,188,04:51,04:12,13,5,1.15,8,9.2,233,04:51,259,0,258,317,--,--,--,"10,616",29,No,01:38.0,13,30,--,--,--,--,--,--,--,--,00:59:58,01:00:01,25,34
Running,25/10/2024 05:40,FALSE,Tangerang Running,12.34,696,01:15:34,148,161,3.2,176,190,06:07,05:19,23,19,0.93,8.9,8.3,251,06:05,206,0,205,277,--,--,--,"13,244",28,No,02:18.5,13,32,--,--,--,--,--,--,--,--,01:15:31,01:20:38,32,45
Running,04/08/2024 06:07,FALSE,Tangerang Running,12.34,715,01:18:42,141,156,3,176,189,06:23,05:10,20,15,0.88,9,8,252,06:21,203,0,202,260,--,--,--,"13,932",27,No,02:02.9,13,30,--,--,--,--,--,--,--,--,01:18:37,01:19:42,30,41
Running,12/05/2024 06:00,FALSE,Jakarta Running,12.34,724,01:18:50,149,170,3.1,172,242,06:23,04:56,28,31,0.91,9.3,8.4,258,06:21,214,0,209,280,--,--,--,"13,540",29,No,02:13.5,13,32,--,--,--,--,--,--,--,--,01:18:40,01:22:36,17,37
Running,07/01/2025 18:01,FALSE,Tangerang Running,12.28,695,01:13:00,154,182,3.4,171,194,05:57,04:08,32,27,0.98,8.6,8.4,245,05:55,217,0,206,339,--,--,--,"12,538",29,No,01:37.5,13,32,--,--,--,--,--,--,--,--,01:10:46,01:15:23,23,31
Running,23/01/2024 06:16,FALSE,Tangerang Running,12.24,606,01:01:51,159,194,3.8,169,247,05:03,03:23,10,13,1.15,8.3,9.3,237,05:04,269,0,248,377,--,--,--,"10,508",27,No,01:37.7,13,32,--,--,--,--,--,--,--,--,01:00:42,01:30:11,24,34
Running,31/12/2024 06:48,FALSE,Tangerang - Quality Session,12.22,682,01:03:49,165,196,4.1,171,250,05:13,03:04,25,72,1.1,8.1,8.7,236,05:12,263,0,239,425,--,--,--,"11,036",29,No,00:08.7,18,31,--,--,--,--,--,--,--,--,01:03:13,01:09:21,28,39
Running,06/04/2024 05:34,FALSE,Tangerang - Quality Session,12.05,743,01:04:55,174,198,4.9,173,189,05:23,04:00,18,12,1.07,8.5,9,244,05:23,253,0,245,327,--,--,--,"11,256",27,No,00:32.4,13,29,--,--,--,--,--,--,--,--,01:04:42,01:04:55,28,35
Treadmill Running,12/01/2025 16:10,FALSE,Treadmill Running,12.01,557,01:03:24,149,164,3,188,214,05:17,04:07,--,--,1.01,7.9,8,230,--,223,0,221,297,--,--,--,"11,850",--,No,00:01.4,13,--,--,--,--,--,--,--,--,--,01:03:18,01:03:24,--,--
Treadmill Running,08/12/2024 16:23,FALSE,Treadmill Running,12.01,698,01:08:35,157,183,3.5,179,196,05:43,04:25,--,--,0.98,8.6,8.4,244,--,215,0,212,287,--,--,--,"12,236",--,No,00:04.0,13,--,--,--,--,--,--,--,--,--,01:08:22,01:08:35,--,--
Running,17/07/2024 19:50,FALSE,Tangerang - Quality Session,12.01,727,01:05:14,170,190,4.3,178,250,05:26,02:22,22,16,1.02,8.5,8.5,241,05:27,247,0,236,465,--,--,--,"11,518",30,No,00:07.8,24,33,--,--,--,--,--,--,--,--,01:05:04,01:05:14,35,46
Running,08/01/2025 19:23,FALSE,Tangerang Running,12,681,00:59:04,179,194,4.8,175,188,04:55,03:55,21,21,1.15,8.1,9.2,235,04:55,262,0,251,362,--,--,--,"10,360",29,No,00:01.2,22,33,--,--,--,--,--,--,--,--,00:58:55,00:59:04,23,30
Running,21/04/2024 06:14,FALSE,Jakarta Running,12,733,01:05:51,170,183,4.3,171,187,05:29,04:00,21,28,1.06,8.8,9.3,251,05:29,245,0,244,353,--,--,--,"11,258",30,No,00:00.9,13,32,--,--,--,--,--,--,--,--,01:05:48,01:05:51,12,31
Treadmill Running,02/02/2024 20:43,FALSE,Treadmill Running,11.61,629,01:03:28,165,190,4.2,174,240,05:28,03:12,--,--,1.05,8.6,9,245,--,231,0,225,362,--,--,--,"11,038",--,No,03:45.9,12,--,--,--,--,--,--,--,--,--,01:02:45,01:03:28,--,--
Running,23/10/2024 19:58,FALSE,Tangerang - Quality Session,11.44,682,01:04:35,169,194,4.1,170,239,05:39,02:50,31,39,1.02,8.7,8.6,246,05:39,245,0,219,416,--,--,--,"11,050",30,No,00:26.5,27,32,--,--,--,--,--,--,--,--,01:04:04,01:04:35,21,33
Running,15/01/2025 18:48,FALSE,Tangerang - Quality Session,11.35,629,00:57:47,171,187,4.1,178,188,05:06,03:49,23,17,1.09,8.1,8.7,233,05:05,252,0,241,344,--,--,--,"10,282",29,No,00:39.2,20,32,--,--,--,--,--,--,--,--,00:57:37,00:57:47,23,34
Running,18/09/2024 18:47,FALSE,Tangerang - Quality Session,11.32,645,01:01:10,166,191,4,177,241,05:24,02:20,32,27,1.02,8.4,8.4,241,05:24,237,0,226,488,--,--,--,"10,840",29,No,00:35.6,21,32,--,--,--,--,--,--,--,--,01:00:50,01:01:10,28,35
Running,19/10/2024 06:41,FALSE,Tangerang Running,11.3,667,01:08:00,155,166,3.5,177,198,06:01,04:33,25,15,0.93,8.8,8.3,248,06:00,210,0,208,283,--,--,--,"12,020",29,No,01:50.0,12,33,--,--,--,--,--,--,--,--,01:07:53,01:08:22,37,47
Treadmill Running,06/12/2024 18:42,FALSE,Treadmill Running,11.03,660,01:01:58,161,181,3.8,177,188,05:37,04:27,--,--,1,8.6,8.7,245,--,219,0,217,276,--,--,--,"10,934",--,No,00:08.6,12,--,--,--,--,--,--,--,--,--,01:01:50,01:01:58,--,--
Treadmill Running,14/01/2025 18:41,FALSE,Treadmill Running,11.02,552,01:00:25,150,165,3.1,189,200,05:29,04:32,--,--,0.97,8,7.8,232,--,213,0,212,274,--,--,--,"11,334",--,No,00:05.2,12,--,--,--,--,--,--,--,--,--,01:00:16,01:00:25,--,--
Running,10/07/2024 19:14,FALSE,Tangerang - Quality Session,11.02,643,01:02:54,164,190,3.8,170,231,05:42,02:28,16,12,1.01,8.6,8.4,245,05:42,247,0,224,548,--,--,--,"10,736",30,No,00:33.9,20,32,--,--,--,--,--,--,--,--,01:02:44,01:02:54,26,34
Running,01/08/2024 18:55,FALSE,Tangerang Running,11.01,643,01:07:13,148,160,3.1,175,188,06:06,05:01,13,12,0.93,9,8.4,252,06:07,213,0,212,270,--,--,--,"11,744",27,No,00:04.7,12,31,--,--,--,--,--,--,--,--,01:07:00,01:07:13,28,33
Running,08/05/2024 19:59,FALSE,Tangerang - Quality Session,11.01,656,01:00:21,169,193,4,172,247,05:29,02:38,17,17,1.05,8.6,8.8,246,05:29,255,0,240,488,--,--,--,"10,350",30,No,00:35.4,20,32,--,--,--,--,--,--,--,--,01:00:11,01:00:25,32,39
Running,02/05/2024 20:04,FALSE,Tangerang - Run Workout,11.01,659,00:58:23,173,191,4.3,174,184,05:18,03:53,21,11,1.08,8.5,9.1,244,05:18,259,0,252,358,--,--,--,"10,108",30,No,00:32.4,16,32,--,--,--,--,--,--,--,--,00:58:16,00:58:23,35,49
Running,13/12/2023 16:54,FALSE,Tangerang - Quality Session,11.01,640,01:04:29,170,193,4,159,233,05:51,03:29,10,13,1.07,8.8,9.3,256,05:54,237,0,216,372,--,--,--,"10,482",32,No,00:01.3,23,35,--,--,--,--,--,--,--,--,01:03:32,01:04:46,30,40
Running,03/12/2023 06:05,FALSE,Jakarta Running,11.01,627,01:08:17,159,178,3.5,167,179,06:12,04:15,28,27,0.97,9.2,8.9,259,06:07,213,0,206,315,--,--,--,"11,462",28,No,00:02.1,12,33,--,--,--,--,--,--,--,--,01:08:00,01:16:30,17,31
Running,10/01/2025 18:34,FALSE,Tangerang Running,11,626,01:08:47,154,171,3.1,174,184,06:15,05:16,12,13,0.91,9.1,8.3,252,06:15,199,0,196,247,--,--,--,"11,962",30,No,00:01.7,12,31,--,--,--,--,--,--,--,--,01:08:05,01:08:47,23,29
Running,11/07/2024 18:46,FALSE,Tangerang Running,11,641,01:04:37,152,162,3.4,172,185,05:52,05:00,15,6,0.98,8.9,8.8,252,05:52,224,0,222,267,--,--,--,"11,130",30,No,00:01.6,12,32,--,--,--,--,--,--,--,--,01:04:21,01:04:37,22,32
Running,19/11/2023 17:05,FALSE,Tangerang Running,11,645,01:00:22,179,199,4.5,170,187,05:29,04:05,31,41,1.08,8.9,9.5,251,05:29,237,0,235,321,--,--,--,"10,248",32,No,00:01.5,12,33,--,--,--,--,--,--,--,--,01:00:15,01:00:35,30,45
Running,25/04/2024 18:33,FALSE,Tangerang - Run Workout,10.8,647,00:57:47,173,193,4.4,171,182,05:21,03:58,12,16,1.09,8.7,9.3,248,05:21,258,0,250,343,--,--,--,"9,868",30,No,00:03.6,16,32,--,--,--,--,--,--,--,--,00:57:36,00:57:56,29,41
Running,19/12/2024 18:33,FALSE,Tangerang - Quality Session,10.72,574,00:50:01,169,186,4.1,177,192,04:40,03:53,12,18,1.2,7.8,9.4,229,04:40,277,0,271,359,--,--,--,"8,860",27,No,01:56.2,12,30,--,--,--,--,--,--,--,--,00:49:59,00:50:01,17,26
Running,17/11/2024 05:45,FALSE,Tangerang - Quality Session,10.63,595,00:46:46,190,201,5,175,200,04:24,03:09,22,16,1.29,7.7,9.9,226,04:25,287,0,285,365,--,--,--,"8,162",28,No,00:05.2,12,31,--,--,--,--,--,--,--,--,00:46:42,00:46:57,2,14
Running,31/01/2024 18:19,FALSE,Tangerang Running,10.63,605,01:17:44,150,176,3.2,168,198,07:19,03:48,34,29,0.81,10,8,269,07:16,188,0,175,348,--,--,--,"13,138",29,No,04:31.8,11,32,--,--,--,--,--,--,--,--,01:16:49,01:18:40,35,44
Running,23/11/2024 17:50,FALSE,Tangerang - Quality Session,10.52,595,00:55:01,170,188,4.1,174,187,05:14,04:04,41,53,1.09,8.3,9,239,05:12,254,0,242,347,--,--,--,"9,562",28,No,00:01.0,18,31,--,--,--,--,--,--,--,--,00:54:55,00:55:01,16,32
Running,04/09/2024 19:54,FALSE,Tangerang - Quality Session,10.4,581,00:51:35,172,190,4.4,179,207,04:58,03:43,18,24,1.12,8.1,9,233,04:59,257,0,252,352,--,--,--,"9,202",30,No,00:02:00,14,32,--,--,--,--,--,--,--,--,00:51:30,00:51:35,28,41
Running,16/10/2024 18:44,FALSE,Tangerang - Quality Session,10.37,603,00:57:01,168,196,4.1,176,194,05:30,03:28,33,40,1.02,8.6,8.5,243,05:31,246,0,227,374,--,--,--,"10,050",29,No,00:01.6,15,33,--,--,--,--,--,--,--,--,00:56:54,00:57:01,25,39
