Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,12/08/2023 07:51,Tangerang Running,5.01,362,00:30:35,137,163,3.3,167,177,06:06,04:59,16,18,0.98,0,"5,094",27,No,00:02.4,6,31,00:30:34,00:30:35,37,44
Running,10/08/2023 07:05,Tangerang Running,10.08,629,01:18:57,107,148,2.3,151,187,07:50,04:39,35,39,0.84,0,"12,086",28,No,00:24.0,11,31,01:18:33,01:25:49,29,41
Running,09/08/2023 07:26,Tangerang Running,5.01,332,00:30:21,131,150,3.1,175,227,06:04,04:11,17,19,0.95,0,"5,304",28,No,00:01.6,6,30,00:30:07,00:30:21,40,48
Running,08/08/2023 17:36,Tangerang - Run Workout Inte,8.09,518,01:00:14,125,158,2.6,138,181,07:27,04:18,27,36,0.97,0,"8,444",30,No,01:57.2,23,32,00:56:22,01:00:58,32,46
Running,06/08/2023 05:38,Tangerang Running,20.01,"1,213",02:14:08,128,144,3.1,157,181,06:42,05:36,174,162,0.95,0,"21,150",27,No,00:03.0,21,32,02:09:20,02:19:01,29,54
Running,05/08/2023 07:19,Tangerang Running,5.5,381,00:39:04,127,161,2.9,159,177,07:06,04:34,24,25,0.89,0,"6,222",29,No,02:28.5,6,31,00:38:42,00:39:04,34,43
Running,04/08/2023 07:04,Tangerang - Tempo Run 8K,9.93,735,01:04:28,141,160,4.3,159,174,06:30,05:29,61,66,0.97,0,"10,238",29,No,05:43.1,10,32,01:04:11,01:04:28,36,47
Running,02/08/2023 06:57,Tangerang - Run Workout Inte,9.06,613,01:04:51,133,156,3.2,147,221,07:09,04:18,81,85,0.93,0,"9,600",28,No,00:04.5,25,32,01:04:05,01:04:51,37,51
Running,31/07/2023 17:34,Tangerang Running,10.11,718,01:03:59,135,158,3.6,162,237,06:20,04:12,42,38,0.97,0,"10,468",29,No,00:31.6,11,31,01:03:12,01:06:20,33,44
Running,30/07/2023 06:53,Tangerang Running,14.52,921,02:04:03,104,160,2.6,142,221,08:33,03:50,64,50,0.81,0,"17,726",27,No,02:35.9,15,29,02:03:53,02:10:12,37,50
Running,23/07/2023 06:42,Malang Running,10.71,581,01:10:50,114,143,2.2,158,189,06:37,05:05,85,70,0.96,0,"11,374",23,No,04:16.2,11,28,01:08:34,01:19:12,493,515
Running,21/07/2023 07:29,Tangerang Running,10.04,628,01:29:59,103,148,2,143,219,08:58,03:41,75,71,0.79,0,"12,944",28,No,00:10.7,11,31,01:27:53,01:31:27,33,47
Running,19/07/2023 06:15,Tangerang Running,20.41,"1,254",02:29:28,113,153,3,154,221,07:19,04:16,196,157,0.89,0,"23,240",26,No,02:13.2,21,32,02:25:26,02:44:23,30,59
Running,17/07/2023 16:51,Tangerang Running,14.01,939,01:37:09,130,154,3.2,150,193,06:56,03:45,94,88,0.96,0,"14,730",31,No,00:03.9,15,33,01:35:25,01:46:29,26,50
Running,16/07/2023 07:40,Tangerang Running,7.27,443,01:21:10,82,112,0.6,128,216,11:10,06:40,52,56,0.7,0,"10,556",29,No,03:26.7,8,32,01:20:16,01:23:21,30,47
Running,15/07/2023 06:20,Tangerang Running,12.08,732,01:23:03,120,143,2.7,161,189,06:52,05:19,86,72,0.9,0,"13,450",28,No,00:25.5,13,31,01:21:14,01:27:14,31,50
Running,13/07/2023 07:21,Tangerang Running,5.01,340,00:27:47,140,160,3.2,163,175,05:33,04:28,24,17,1.1,0,"4,548",28,No,00:01.7,6,31,00:27:41,00:29:59,38,51
Running,11/07/2023 07:09,Tangerang Running,10,647,01:10:34,124,156,2.5,155,195,07:03,03:49,81,78,0.92,0,"10,986",28,No,00:01.5,11,31,01:09:43,01:11:22,36,47
Running,09/07/2023 06:36,Tangerang Running,10.06,622,01:03:53,125,144,2.9,164,191,06:21,04:18,53,60,0.96,0,"10,510",26,No,00:16.3,11,28,01:03:15,01:05:30,37,49
Running,08/07/2023 07:39,Tangerang Running,10.16,639,01:13:09,121,141,2.4,153,230,07:12,04:16,75,70,0.91,0,"11,364",28,No,01:00.7,11,33,01:12:19,01:13:44,40,53
Running,07/07/2023 08:00,Tangerang Running,8.24,556,00:51:14,131,149,3.2,159,166,06:13,05:24,50,47,1.01,0,"8,188",29,No,01:18.6,9,32,00:50:53,00:54:18,37,51
Running,04/07/2023 07:13,Tangerang Running,6.01,405,00:41:04,125,142,2.5,154,166,06:50,05:12,29,20,0.95,0,"6,370",28,No,00:02.3,7,31,00:40:52,00:42:08,35,48
Running,02/07/2023 07:55,Tangerang Running,10.36,659,01:12:23,119,148,2.4,154,216,06:59,03:52,77,71,0.93,0,"11,164",29,No,01:52.4,11,33,01:12:14,01:14:30,33,49
Running,01/07/2023 07:42,Tangerang Running,8.01,558,00:53:05,129,150,3,156,183,06:38,04:08,52,47,0.97,0,"8,350",29,No,00:02.0,9,32,00:52:23,00:56:09,35,49
