Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,15/04/2025 06:03,FALSE,Tangerang Running,9.02,433,01:02:59,159,179,3.4,174,188,06:59,05:40,5,11,0.82,0,"11,004",29,No,00:07.9,10,31,01:02:34,01:05:06,-89,-81
Running,13/04/2025 06:06,FALSE,Jakarta Running,10.17,489,01:04:26,170,182,4.2,178,192,06:20,04:49,20,29,0.89,0,"11,464",30,No,01:00.3,11,32,01:04:17,01:04:26,-107,-86
Running,12/04/2025 06:02,FALSE,Tangerang Running,14.3,645,01:32:18,163,179,3.9,177,190,06:27,05:40,6,17,0.87,0,"16,350",29,No,01:48.7,15,30,01:31:33,01:35:47,-84,-73
Running,06/04/2025 06:34,FALSE,Tangerang - Easy Run,8.3,385,01:00:07,151,172,3.3,166,192,07:14,05:49,5,7,0.83,0,"10,180",30,No,02:06.7,9,33,00:58:33,01:04:53,33,40
Running,05/04/2025 05:07,FALSE,Tangerang - Quality Session,21.01,936,02:15:57,169,196,4.6,172,190,06:28,05:16,7,18,0.9,0,"23,468",29,No,00:02.4,22,31,02:14:34,02:23:07,24,34
Running,03/04/2025 06:28,FALSE,Tangerang - Easy Run,8.78,424,01:00:06,162,180,3.5,175,194,06:51,05:07,5,11,0.84,0,"10,466",29,No,05:18.4,9,30,00:59:40,01:01:38,27,38
Running,02/04/2025 06:26,FALSE,Tangerang - Quality Session,12.01,525,01:17:45,164,193,3.6,154,226,06:29,04:07,10,15,0.99,0,"12,670",29,No,00:06.5,28,31,01:15:53,01:28:10,39,52
Running,30/03/2025 06:28,FALSE,Tangerang Running,10,471,01:05:27,163,181,4.3,174,200,06:33,05:27,9,12,0.88,0,"11,456",29,No,00:01.2,11,33,01:04:41,01:06:36,-500,-500
Running,28/03/2025 06:19,FALSE,Tangerang - Quality Session,10.51,442,01:08:11,155,178,3.7,165,212,06:29,04:00,2,16,0.95,0,"11,600",30,No,00:01.4,27,30,01:07:23,01:08:41,-500,-500
Running,23/03/2025 05:19,FALSE,Tangerang Running,16.08,748,01:45:38,165,178,4,176,200,06:34,04:45,13,16,0.87,0,"18,630",28,No,00:39.8,17,31,01:44:53,01:50:04,-500,-500
Running,22/03/2025 06:31,FALSE,Tangerang - Easy Run,7.03,338,00:47:03,161,173,3.5,174,188,06:42,05:30,7,11,0.86,0,"8,224",30,No,00:12.7,8,31,00:46:12,00:47:03,-500,-500
Running,21/03/2025 06:09,FALSE,Tangerang - Easy Run,8.17,388,00:56:09,157,177,3.5,174,214,06:53,05:24,22,25,0.84,0,"9,900",29,No,01:05.5,9,33,00:55:40,01:00:50,-500,-500
Running,19/03/2025 05:52,FALSE,Tangerang Running,4.01,193,00:27:20,154,175,3,173,190,06:49,05:36,9,18,0.85,0,"4,742",27,No,00:05.6,5,29,00:26:45,00:27:20,-500,-500
Running,16/03/2025 06:25,FALSE,Tangerang - Easy Run,10,476,01:07:50,156,178,3.7,171,237,06:47,05:42,7,8,0.86,0,"11,708",28,No,00:01.8,11,31,01:07:40,01:13:05,-484,-479
Running,14/03/2025 06:41,FALSE,Tangerang - Easy Run,6,287,00:40:21,156,185,3.1,171,192,06:43,05:17,15,16,0.87,0,"7,080",30,No,00:03.7,7,31,00:39:42,00:46:26,-431,-394
Running,02/03/2025 09:21,FALSE,Shinjuku Ward Running,42.36,"1,194",03:56:23,155,174,3.1,179,196,05:35,04:15,92,104,1,0,"42,476",20,No,01:35.7,43,33,03:55:02,03:56:23,-359,-317
Running,01/03/2025 07:34,FALSE,Shinjuku Ward - Easy Run,4.04,170,00:30:40,139,165,1.6,161,203,07:35,04:32,10,27,0.82,0,"5,106",17,No,00:40.5,5,27,00:29:43,01:06:27,-348,-312
Running,26/02/2025 06:07,FALSE,Tangerang - Quality Session,11.59,475,01:12:45,154,181,3.2,169,206,06:17,04:14,10,16,0.93,0,"12,762",28,No,00:02.8,19,30,01:11:18,01:15:23,-208,-194
Running,25/02/2025 06:40,FALSE,Tangerang - Easy Run,4.89,224,00:31:59,154,173,3,169,212,06:33,03:43,2,7,0.91,0,"5,624",29,No,00:19.0,9,30,00:31:46,00:32:54,-185,-178
Running,23/02/2025 05:57,FALSE,Tangerang - Quality Session,16.02,699,01:34:46,165,185,3.9,180,192,05:55,04:59,6,18,0.94,0,"17,014",28,No,00:06.1,17,29,01:34:01,01:35:48,-129,-120
Running,22/02/2025 06:33,FALSE,Tangerang - Easy Run,6.02,280,00:38:07,163,183,3.3,174,214,06:20,03:49,3,13,0.91,0,"6,730",27,No,00:07.1,18,30,00:37:31,00:40:28,-149,-138
Running,19/02/2025 05:29,FALSE,Tangerang - Quality Session,8.48,333,00:55:05,148,180,2.8,162,206,06:30,04:15,3,12,0.94,0,"9,286",27,No,00:05.5,15,30,00:54:35,01:02:48,-118,-110
Running,18/02/2025 05:47,FALSE,Tangerang - Easy Run,5.37,251,00:34:49,159,188,3.2,174,211,06:29,03:48,2,8,0.89,0,"6,042",28,No,00:00:20,13,30,00:34:30,00:35:01,-113,-105
Running,16/02/2025 05:38,FALSE,Tangerang - Quality Session,18.01,783,01:49:11,163,196,4.6,177,195,06:04,04:57,15,23,0.93,0,"19,366",28,No,00:06.7,19,32,01:47:33,01:51:57,-91,-80
Running,15/02/2025 06:46,FALSE,Tangerang - Easy Run,8.72,408,00:58:07,160,179,3.3,174,217,06:40,03:50,9,11,0.88,0,"10,206",29,No,00:06.5,21,31,00:57:49,00:58:07,-82,-75
Running,14/02/2025 06:20,FALSE,Tangerang - Easy Run,6.01,292,00:38:57,163,175,3.3,175,228,06:29,05:02,2,9,0.88,0,"6,876",29,No,00:08.0,7,31,00:38:56,00:39:15,-46,-39
Running,12/02/2025 04:55,FALSE,Tangerang - Quality Session,13.03,528,01:20:11,157,181,3.2,168,202,06:09,04:27,3,13,0.95,0,"13,734",28,No,00:01.5,24,31,01:18:14,01:24:20,-13,-3
Running,11/02/2025 05:17,FALSE,Tangerang - Easy Run,6.31,294,00:47:17,150,168,2.7,159,206,07:30,03:45,6,9,0.83,0,"7,728",29,No,00:13.3,18,31,00:46:04,00:49:09,40,49
Running,09/02/2025 06:18,FALSE,Tangerang - Easy Run,8.02,384,00:54:49,158,178,3.2,173,190,06:50,05:18,5,12,0.84,0,"9,546",28,No,01:55.2,9,30,00:54:32,00:59:08,-177,-170
Running,08/02/2025 05:04,FALSE,Tangerang - Quality Session,32.01,963,03:10:16,153,173,3.1,179,196,05:57,02:12,25,39,0.94,0,"34,022",27,No,00:03.2,33,29,03:09:36,03:13:37,-155,-140
Running,07/02/2025 05:26,FALSE,Tangerang - Easy Run,6.68,321,00:46:55,154,172,3,174,190,07:01,05:45,2,12,0.82,0,"8,190",29,No,04:46.2,7,30,00:46:49,00:48:52,-141,-128
Running,05/02/2025 06:06,FALSE,Tangerang - Quality Session,12.93,598,01:22:22,164,190,3.9,161,206,06:22,04:10,23,27,1,0,"13,902",29,No,00:04.4,21,32,01:18:31,01:25:43,-60,-53
Running,04/02/2025 04:59,FALSE,Tangerang - Easy Run,8.72,399,01:02:29,150,171,2.7,171,188,07:10,06:00,11,15,0.82,0,"10,744",27,No,05:05.6,9,30,01:01:39,01:03:16,-34,-26
Running,02/02/2025 06:48,FALSE,Tangerang - Easy Run,7.39,338,00:50:14,151,168,3,175,190,06:48,05:49,3,7,0.84,0,"8,884",30,No,00:14.3,9,31,00:50:04,00:51:01,20,27
Running,01/02/2025 05:15,FALSE,Tangerang - Quality Session,25.01,"1,003",02:30:00,166,186,3.8,180,194,06:00,05:00,35,39,0.92,0,"26,934",30,No,00:03.6,26,31,02:29:32,02:41:18,37,54
Running,31/01/2025 05:43,FALSE,Tangerang - Easy Run,7.86,373,00:54:28,154,170,3,172,191,06:56,04:50,7,12,0.84,0,"9,504",28,No,05:30.8,8,30,00:53:41,00:56:54,-209,-200
Running,29/01/2025 06:22,FALSE,Tangerang - Quality Session,13.13,543,01:20:16,157,183,3.4,173,202,06:07,04:28,11,19,0.94,0,"14,186",28,No,00:00.7,19,30,01:19:05,01:27:40,-156,-137
Running,28/01/2025 06:06,FALSE,Tangerang - Easy Run,10.63,516,01:11:08,160,175,3.4,179,190,06:41,05:49,4,12,0.84,0,"12,802",29,No,01:08.0,12,31,01:10:28,01:12:29,-115,-107
Running,26/01/2025 06:06,FALSE,Tangerang - Easy Run,7.82,358,00:51:17,154,175,3.1,177,194,06:34,05:30,8,10,0.86,0,"9,144",28,No,01:16.5,9,31,00:50:53,00:51:46,-89,-79
