Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,30/01/2025 17:44,FALSE,Tangerang Running,5.6,419,00:37:02,144,155,--,167,181,06:37,05:10,22,22,0.91,--,--,--,--,--,0,--,--,"6,072",--,No,04:16.9,6,--,00:37:00,00:37:02,23,39
Running,25/01/2025 06:41,FALSE,Bandung Running,24.07,"2,889",06:35:41,136,170,4.9,72,247,16:26,05:21,894,886,0.75,9.4,6.5,300,--,164,0,91,503,"34,022",20,No,00:29.6,25,32,04:00:22,06:42:03,907,"1,271"
Running,19/01/2025 07:01,FALSE,Tangerang Running,13.13,978,01:24:07,136,153,4.2,169,186,06:24,05:22,27,21,0.93,9,8.4,269,--,274,0,272,338,"14,200",26,No,00:46.6,14,31,01:23:14,01:27:27,30,42
Walking,12/01/2025 07:04,FALSE,Bogor Walking,13.85,"2,578",05:53:47,128,179,3.9,46,250,25:34:00,04:51,"1,424","1,186",0.87,--,--,--,--,--,0,--,--,"23,304",24,No,09:53.8,14,35,02:52:03,07:21:11,351,881
Running,11/01/2025 06:18,FALSE,Tangerang Running,8.02,602,00:54:32,133,147,3.3,167,178,06:48,06:16,15,11,0.88,9.5,8.4,279,--,260,0,259,298,"9,030",24,No,00:08.6,9,28,00:54:29,00:54:32,28,38
Running,08/01/2025 18:20,FALSE,Tangerang Running,6.29,415,00:39:18,138,159,--,167,189,06:15,03:55,7,10,0.95,--,--,--,--,--,0,--,--,"6,774",--,No,02:00.0,10,--,00:39:17,00:39:18,23,29
Running,05/01/2025 06:13,FALSE,Tangerang Running,10.04,734,01:07:35,146,163,--,169,179,06:44,06:19,49,50,0.88,--,--,--,--,--,0,--,--,"11,348",--,No,00:14.2,11,--,01:07:32,01:12:23,23,37
Running,22/12/2024 07:35,FALSE,Tangerang - Base,2.09,248,00:19:18,154,169,3.4,161,177,09:14,07:58,4,2,0.67,10.9,7.3,295,--,198,0,193,224,"3,110",29,No,00:04.7,6,31,00:18:51,00:22:45,39,42
Running,22/12/2024 06:20,FALSE,Tangerang Running,10.53,770,01:01:45,145,174,4.5,173,188,05:52,04:46,13,7,0.98,8.6,8.4,260,--,302,0,298,391,"10,628",26,No,03:02.1,11,29,01:01:27,01:05:46,30,39
Running,20/12/2024 07:22,FALSE,Tangerang Running,1.48,144,00:13:47,141,152,--,161,173,09:21,06:52,--,2,0.66,--,--,--,--,--,0,--,--,"2,224",--,No,04:42.5,2,--,00:13:40,00:13:47,28,33
Running,20/12/2024 06:13,FALSE,Tangerang Running,7.25,528,00:50:49,146,161,--,168,181,07:00,06:03,26,18,0.85,--,--,--,--,--,0,--,--,"8,468",--,No,01:34.6,8,--,00:50:47,00:54:54,23,35
Walking,15/12/2024 06:53,FALSE,Bogor Walking,11.69,"1,588",03:57:58,125,165,3.3,61,250,20:21,04:05,735,756,0.85,--,--,--,--,--,0,--,--,"18,716",23,No,00:10:28,12,31,02:35:12,04:34:40,376,857
Running,14/12/2024 06:19,FALSE,Tangerang Running,5.87,435,00:35:53,139,155,3.4,171,189,06:07,04:48,6,4,0.96,8.9,8.5,266,--,293,0,290,359,"6,076",25,No,04:58.7,6,28,00:35:48,00:37:04,40,46
Running,12/12/2024 18:09,FALSE,Tangerang Running,5.45,402,00:49:04,125,168,--,161,183,09:00,05:49,43,43,0.68,--,--,--,--,--,0,--,--,"7,914",--,No,02:47.1,6,--,00:49:02,00:59:17,23,40
Running,12/12/2024 18:09,FALSE,Tangerang Running,3.1,342,00:33:30,135,146,2.8,161,174,10:49,06:54,7,--,0.57,12,6.8,303,--,173,0,171,270,"5,438",29,No,01:00.1,4,33,00:33:21,00:42:12,31,40
Running,11/12/2024 06:21,FALSE,Tangerang Running,7.26,549,00:47:47,152,173,--,167,175,06:35,05:08,18,20,0.91,--,--,--,--,--,0,--,--,"7,850",--,No,01:39.6,8,--,00:47:46,00:51:10,23,36
Running,07/12/2024 06:20,FALSE,Tangerang Running,6.81,474,00:55:11,118,132,2.6,165,183,08:06,05:45,23,20,0.75,10.4,7.7,290,--,229,0,222,416,"9,044",--,No,05:40.7,7,--,00:55:10,00:55:11,27,44
Running,27/11/2024 06:18,FALSE,Tangerang Running,7.95,603,00:53:23,151,161,--,171,179,06:43,05:56,19,17,0.87,--,--,--,--,--,0,--,--,"9,032",--,No,06:13.5,8,--,00:53:21,00:58:32,26,34
Running,21/11/2024 20:01,FALSE,Tangerang Running,6.26,462,00:44:11,144,155,--,167,173,07:03,04:55,54,60,0.85,--,--,--,--,--,0,--,--,"7,316",--,No,01:19.4,7,--,00:44:10,00:44:11,27,41
Running,17/11/2024 06:12,FALSE,Tangerang Running,5.55,386,00:47:39,124,151,--,155,193,08:35,05:29,95,95,0.75,--,--,--,--,--,0,--,--,"7,470",--,No,04:07.7,6,--,00:47:37,00:53:19,22,50
Running,09/11/2024 06:50,FALSE,Tangerang Running,5.73,415,00:34:56,148,164,--,172,179,06:06,05:35,14,10,0.95,--,--,--,--,--,0,--,--,"5,962",--,No,04:16.3,6,--,00:34:54,00:34:56,26,35
