Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,10/06/2024 18:39,FALSE,Treadmill Running,2.91,210,00:20:40,132,153,--,149,185,07:06,05:22,--,--,0.95,--,--,--,--,--,0,--,--,"3,104",--,No,05:49.8,3,--,00:19:14,00:20:40,--,--
Running,08/06/2024 06:01,FALSE,Tangerang Running,12.12,906,01:12:03,157,173,--,165,177,05:57,04:36,42,46,1.02,--,--,--,--,--,0,--,--,"11,880",--,No,00:42.5,13,--,01:12:00,01:12:03,26,35
Running,06/06/2024 19:35,FALSE,Tangerang Running,7.37,574,00:49:05,152,165,--,163,173,06:40,05:14,58,66,0.92,--,--,--,--,--,0,--,--,"7,944",--,No,02:41.9,8,--,00:49:03,00:49:39,27,41
Running,05/06/2024 06:01,FALSE,Tangerang Running,7.36,517,00:47:59,144,155,--,161,170,06:31,06:03,13,13,0.95,--,--,--,--,--,0,--,--,"7,678",--,No,02:14.8,8,--,00:47:55,00:48:07,26,35
Running,04/06/2024 06:13,FALSE,Tangerang Running,7.13,543,00:48:50,146,165,--,160,170,06:51,06:17,21,15,0.91,--,--,--,--,--,0,--,--,"7,774",--,No,00:52.9,8,--,00:48:46,00:48:50,27,42
Running,01/06/2024 06:25,FALSE,Tangerang Running,10.05,738,01:01:59,150,186,--,163,181,06:10,05:22,24,27,1,--,--,--,--,--,0,--,--,"10,058",--,No,00:17.8,11,--,01:01:56,01:01:59,24,34
Running,30/05/2024 19:03,FALSE,Tangerang Running,5.06,376,00:34:34,141,150,--,162,175,06:50,05:57,31,36,0.9,--,--,--,--,--,0,--,--,"5,562",--,No,00:23.6,6,--,00:34:32,00:34:34,27,41
Running,29/05/2024 06:17,FALSE,Tangerang - Benchmark Run,4.1,277,00:25:35,140,154,--,158,164,06:14,04:22,3,4,1.01,--,--,--,--,--,0,--,--,"3,992",--,No,00:12.3,7,--,00:25:33,00:25:50,33,39
Running,21/05/2024 07:33,TRUE,Fujikawaguchiko Town Running,5.02,359,00:29:34,150,168,--,158,168,05:53,04:22,39,36,1.07,--,--,--,--,--,0,--,--,"4,636",--,No,00:04.4,6,--,00:29:32,00:29:34,828,853
Running,21/05/2024 07:02,FALSE,Fujikawaguchiko Town Running,2.01,175,00:20:17,130,150,--,150,176,10:06,05:03,34,35,0.66,--,--,--,--,--,0,--,--,"3,108",--,No,00:03.8,3,--,00:19:45,00:28:13,828,849
Running,07/05/2024 20:10,FALSE,Tangerang Running,7.14,556,00:47:02,154,169,--,158,175,06:35,05:46,53,60,0.96,--,--,--,--,--,0,--,--,"7,432",--,No,01:00.1,8,--,00:47:00,00:47:02,27,41
Running,04/05/2024 06:23,FALSE,Tangerang Running,10.7,810,01:28:53,141,165,--,157,166,08:19,05:31,22,25,0.77,--,--,--,--,--,0,--,--,"13,904",--,No,05:07.8,11,--,01:28:49,01:35:43,24,33
Running,03/05/2024 06:23,FALSE,Tangerang Running,1.64,82,07:35.0,144,161,--,162,185,04:38,03:09,7,4,1.31,--,--,--,--,--,0,--,--,"1,300",--,No,00:11.1,6,--,07:29.9,00:11:32,28,33
Running,03/05/2024 06:06,FALSE,Tangerang Running,2.29,161,00:14:06,144,156,--,157,164,06:10,05:39,--,--,1.04,--,--,--,--,--,0,--,--,"2,172",--,No,01:43.4,3,--,00:14:06,00:14:06,28,34
Running,01/05/2024 16:38,FALSE,Tangerang Running,5.13,378,00:30:59,155,180,--,157,164,06:03,04:59,10,17,1.06,--,--,--,--,--,0,--,--,"4,788",--,No,00:50.6,6,--,00:30:56,00:30:59,28,45
Running,28/04/2024 06:30,FALSE,Jakarta Running,5.63,425,00:54:31,129,154,--,154,170,09:41,07:07,52,46,0.67,--,--,--,--,--,0,--,--,"8,456",--,No,06:20.8,6,--,00:54:17,00:54:31,3,28
Running,27/04/2024 06:12,FALSE,Tangerang Running,5.22,369,00:32:07,148,164,--,156,166,06:09,05:05,16,15,1.04,--,--,--,--,--,0,--,--,"4,924",--,No,01:31.3,6,--,00:32:07,00:32:07,29,44
Running,22/04/2024 18:08,FALSE,Tangerang Running,10.16,860,01:14:57,153,180,--,155,172,07:23,05:56,84,96,0.87,--,--,--,--,--,0,--,--,"11,614",--,No,01:09.3,11,--,01:14:53,01:24:06,18,45
Running,14/04/2024 07:15,FALSE,Jakarta Running,4.61,265,00:22:56,148,164,--,159,166,04:59,03:39,68,87,1.26,--,--,--,--,--,0,--,--,"3,610",--,No,03:35.8,5,--,00:22:55,00:27:43,12,39
Running,14/04/2024 06:44,FALSE,Jakarta Running,3.01,232,00:22:01,141,156,--,157,166,07:19,06:15,56,59,0.87,--,--,--,--,--,0,--,--,"3,448",--,No,00:06.2,4,--,00:22:00,00:23:44,15,28
Running,12/04/2024 07:04,FALSE,Tangerang Running,8.09,652,00:51:24,162,184,--,157,166,06:21,04:41,15,13,1,--,--,--,--,--,0,--,--,"8,006",--,No,00:45.4,9,--,00:51:22,00:51:35,26,35
Running,12/04/2024 06:46,FALSE,Tangerang Running,1.49,138,00:13:24,138,153,--,158,166,08:59,08:07,4,3,0.71,--,--,--,--,--,0,--,--,"2,100",--,No,04:30.7,2,--,00:13:23,00:13:24,28,33
Treadmill Running,10/04/2024 07:31,FALSE,Treadmill Running,2.05,183,00:17:26,136,153,--,147,164,08:30,05:22,--,--,0.83,--,--,--,--,--,0,--,--,"2,608",--,No,01:36.5,3,--,00:16:23,00:17:26,--,--
Running,09/04/2024 06:40,FALSE,Tangerang Running,7.29,670,00:53:09,162,195,--,157,179,07:18,04:16,24,19,0.87,--,--,--,--,--,0,--,--,"8,260",--,No,01:46.6,8,--,00:53:06,00:55:17,26,35
Running,30/03/2024 05:52,FALSE,Tangerang Running,16.62,"1,288",01:37:33,167,185,--,162,172,05:52,05:02,39,41,1.05,--,--,--,--,--,0,--,--,"15,752",--,No,03:41.6,17,--,01:37:27,01:40:28,24,33
Running,30/03/2024 05:35,FALSE,Tangerang Running,1.56,113,00:10:19,142,158,--,159,169,06:38,05:32,6,8,0.95,--,--,--,--,--,0,--,--,"1,632",--,No,03:23.9,2,--,00:10:19,00:10:19,26,32
Running,24/03/2024 07:19,FALSE,Tangerang Running,10.46,843,01:06:38,162,187,--,157,163,06:22,05:20,28,29,1,--,--,--,--,--,0,--,--,"10,420",--,No,03:11.1,11,--,01:06:36,01:08:59,26,36
Running,21/03/2024 19:27,FALSE,Tangerang Running,5.15,393,00:31:02,160,194,--,156,170,06:02,03:46,30,38,1.07,--,--,--,--,--,0,--,--,"4,772",--,No,01:01.2,6,--,00:31:00,00:31:02,29,41
Walking,20/03/2024 18:37,FALSE,Tangerang Walking,0.51,47,06:20.9,113,120,--,95,115,12:23,10:05,3,2,0.85,--,--,--,--,--,0,--,--,650,--,No,06:20.9,1,--,06:20.9,06:20.9,28,31
Running,20/03/2024 17:49,FALSE,Tangerang Running,5.26,407,00:34:06,153,185,--,156,162,06:29,05:19,16,15,0.99,--,--,--,--,--,0,--,--,"5,286",--,No,01:24.7,6,--,00:34:05,00:34:58,16,34
Running,18/03/2024 20:00,FALSE,Tangerang Running,3.19,237,00:22:15,142,160,--,156,246,06:58,05:12,20,27,0.92,--,--,--,--,--,0,--,--,"3,424",--,No,01:20.5,4,--,00:22:14,00:22:15,28,41
Running,12/03/2024 19:03,FALSE,Tangerang Running,5.1,403,00:35:29,151,171,--,155,160,06:57,05:56,14,16,0.93,--,--,--,--,--,0,--,--,"5,398",--,No,00:43.7,6,--,00:35:27,00:35:50,28,41
Running,07/03/2024 06:38,FALSE,Tangerang Running,9.03,613,00:53:01,150,173,--,158,164,05:52,05:02,24,21,1.08,--,--,--,--,--,0,--,--,"8,234",--,No,00:08.4,10,--,00:52:59,00:53:13,28,42
Running,05/03/2024 18:52,FALSE,Tangerang Running,5.07,335,00:32:31,139,154,--,155,160,06:25,05:08,40,50,1,--,--,--,--,--,0,--,--,"4,966",--,No,00:24.5,6,--,00:32:29,00:34:47,27,41
Running,04/03/2024 18:32,FALSE,Tangerang Running,5.61,373,00:33:49,147,165,--,156,168,06:01,04:44,36,38,1.07,--,--,--,--,--,0,--,--,"5,182",--,No,04:28.9,6,--,00:33:46,00:33:49,28,41
Running,02/03/2024 06:27,FALSE,Tangerang Running,10.18,780,01:25:56,141,168,--,156,166,08:26,04:10,21,24,0.76,--,--,--,--,--,0,--,--,"13,350",--,No,01:14.6,11,--,01:25:53,01:36:46,24,34
Running,25/02/2024 06:47,FALSE,Tangerang Running,15.08,"1,100",01:36:18,156,181,--,158,168,06:23,05:34,199,203,0.99,--,--,--,--,--,0,--,--,"15,160",--,No,00:28.7,16,--,01:36:10,01:50:16,16,96
Running,24/02/2024 06:01,FALSE,Tangerang Running,5.33,400,00:41:00,139,161,--,156,164,07:41,06:21,26,28,0.83,--,--,--,--,--,0,--,--,"6,374",--,No,02:21.5,6,--,00:40:55,00:53:16,16,34
Running,23/02/2024 05:54,FALSE,Tangerang Running,3.59,248,00:27:14,134,148,--,155,162,07:35,06:51,16,15,0.85,--,--,--,--,--,0,--,--,"4,188",--,No,04:25.4,4,--,00:27:13,00:27:22,27,42
Running,13/02/2024 19:07,FALSE,Tangerang Running,3.69,264,00:32:22,125,149,--,153,162,08:46,06:44,72,90,0.74,--,--,--,--,--,0,--,--,"4,938",--,No,07:17.8,4,--,00:32:18,00:38:24,21,48
Running,12/02/2024 17:56,FALSE,Tangerang Running,5.25,370,00:30:14,155,180,--,157,166,05:46,04:47,20,25,1.1,--,--,--,--,--,0,--,--,"4,710",--,No,01:32.8,6,--,00:30:13,00:30:32,27,41
Running,10/02/2024 06:27,FALSE,Tangerang Running,8.43,755,01:10:54,152,173,--,157,169,08:25,05:28,30,29,0.76,--,--,--,--,--,0,--,--,"11,104",--,No,03:58.1,9,--,01:10:51,01:23:06,26,36
Running,09/02/2024 17:42,FALSE,Tangerang Running,4.08,282,00:25:38,142,160,--,155,166,06:17,05:42,17,24,1.03,--,--,--,--,--,0,--,--,"3,898",--,No,00:31.3,5,--,00:25:35,00:25:38,27,41
Running,06/02/2024 19:17,FALSE,Tangerang Running,5.03,315,00:33:05,134,160,--,157,179,06:34,03:00,37,45,0.97,--,--,--,--,--,0,--,--,"5,140",--,No,00:13.6,6,--,00:33:04,00:33:05,28,41
Running,05/02/2024 18:59,FALSE,Tangerang Running,6.02,515,00:40:59,162,188,--,157,175,06:48,04:54,35,36,0.93,--,--,--,--,--,0,--,--,"6,430",--,No,00:13.2,7,--,00:40:56,00:40:59,28,41
Running,04/02/2024 06:49,FALSE,Tangerang Running,8.07,616,00:54:43,149,170,--,155,181,06:47,05:36,20,19,0.95,--,--,--,--,--,0,--,--,"8,506",--,No,00:24.3,9,--,00:53:30,00:57:17,26,35
Running,28/01/2024 06:45,FALSE,Tangerang Running,13.4,984,01:24:19,157,175,--,162,173,06:17,05:49,33,33,0.98,--,--,--,--,--,0,--,--,"13,570",--,No,02:36.6,14,--,01:24:14,01:25:47,18,36
Running,27/01/2024 06:19,FALSE,Tangerang Running,6.12,465,00:37:32,156,193,--,157,164,06:08,04:40,13,10,1.04,--,--,--,--,--,0,--,--,"5,840",--,No,00:44.6,7,--,00:37:30,00:38:40,26,34
Running,25/01/2024 06:50,FALSE,Tangerang Running,5.62,428,00:35:50,153,179,--,156,162,06:22,05:08,10,6,1,--,--,--,--,--,0,--,--,"5,586",--,No,04:11.6,6,--,00:35:48,00:35:50,26,35
Running,22/01/2024 06:45,FALSE,Tangerang Running,3.42,221,00:22:55,130,140,--,155,158,06:42,06:06,16,9,0.96,--,--,--,--,--,0,--,--,"3,448",--,No,02:48.6,4,--,00:22:52,00:23:07,27,43
Running,10/01/2024 06:19,FALSE,Tangerang Running,6.11,456,00:40:07,150,174,--,162,168,06:34,04:41,10,7,0.94,--,--,--,--,--,0,--,--,"6,462",--,No,00:36.4,7,--,00:40:05,00:42:33,26,34
Running,09/01/2024 06:36,FALSE,Tangerang Running,5.41,355,00:34:33,137,149,--,159,164,06:23,05:37,10,5,0.98,--,--,--,--,--,0,--,--,"5,456",--,No,02:21.9,6,--,00:34:31,00:34:38,27,42
Running,06/01/2024 07:53,FALSE,Tangerang Running,1.8,128,09:41.0,164,184,--,158,163,05:23,04:55,1,4,1.18,--,--,--,--,--,0,--,--,"1,504",--,No,04:02.7,2,--,09:40.7,09:41.0,27,33
Running,06/01/2024 06:34,FALSE,Tangerang Running,6.32,477,00:54:40,137,160,--,156,177,08:39,06:31,8,7,0.74,--,--,--,--,--,0,--,--,"8,576",--,No,02:28.6,7,--,00:54:19,01:16:13,24,34
Running,30/12/2023 06:24,FALSE,Tangerang Running,11.51,742,01:27:29,133,156,--,158,166,07:36,05:15,35,33,0.84,--,--,--,--,--,0,--,--,"13,746",--,No,03:07.6,12,--,01:27:03,01:27:29,26,35
Running,28/12/2023 06:48,FALSE,Tangerang Running,8.14,605,00:52:04,150,174,--,157,166,06:24,05:37,52,45,1,--,--,--,--,--,0,--,--,"8,152",--,No,00:53.8,9,--,00:52:02,00:52:13,27,45
Running,26/12/2023 17:58,FALSE,Tangerang Running,5.44,364,00:35:57,138,162,--,156,166,06:36,05:38,36,41,0.97,--,--,--,--,--,0,--,--,"5,554",--,No,02:54.9,6,--,00:35:56,00:35:57,27,41
Running,23/12/2023 17:41,FALSE,Tangerang Running,4.19,293,00:28:22,140,158,--,156,168,06:46,06:02,34,33,0.95,--,--,--,--,--,0,--,--,"4,382",--,No,01:15.9,5,--,00:28:21,00:28:22,27,42
Running,17/12/2023 06:56,FALSE,Tangerang Running,4.37,313,00:36:03,132,146,--,159,164,08:15,06:52,14,19,0.76,--,--,--,--,--,0,--,--,"5,726",--,No,03:04.6,5,--,00:36:02,00:36:03,24,33
Running,13/12/2023 06:08,FALSE,Tangerang Running,5.29,487,00:41:07,150,166,--,157,164,07:46,06:11,19,19,0.82,--,--,--,--,--,0,--,--,"6,446",--,No,01:50.5,6,--,00:41:05,00:41:22,26,35
Running,10/12/2023 06:07,FALSE,Tangerang Running,4.79,360,00:25:08,173,185,--,163,170,05:15,04:36,19,28,1.17,--,--,--,--,--,0,--,--,"4,082",--,No,03:57.5,5,--,00:25:07,00:25:08,26,45
Running,10/12/2023 06:01,FALSE,Tangerang Running,1.06,83,05:53.1,172,181,--,159,166,05:33,05:04,6,--,1.13,--,--,--,--,--,0,--,--,942,--,No,00:18.8,2,--,05:46.8,05:53.1,28,36
Running,10/12/2023 05:42,FALSE,Tangerang Running,3.88,282,00:18:31,179,192,--,162,189,04:46,03:04,17,19,1.3,--,--,--,--,--,0,--,--,"3,006",--,No,04:14.2,4,--,00:18:26,00:18:31,23,35
Running,09/12/2023 06:28,FALSE,Tangerang Running,4.37,293,00:37:31,126,140,--,158,205,08:35,05:38,10,7,0.74,--,--,--,--,--,0,--,--,"5,922",--,No,04:05.4,5,--,00:37:28,00:42:26,28,34
Running,07/12/2023 06:04,FALSE,Tangerang Running,5.37,391,00:34:27,144,161,--,152,163,06:25,05:39,13,13,1.02,--,--,--,--,--,0,--,--,"5,162",--,No,02:18.8,6,--,00:34:04,00:34:27,33,44
Running,03/12/2023 05:12,TRUE,Singapore Running,21.8,"1,842",02:38:54,158,199,--,147,176,07:17,04:16,"1,066","1,066",0.92,--,--,--,--,--,0,--,--,"23,622",--,No,04:08.9,22,--,02:38:23,02:38:54,-46,92
Running,29/11/2023 05:51,FALSE,Tangerang Running,6.17,455,00:36:38,156,179,--,157,164,05:56,05:04,13,12,1.07,--,--,--,--,--,0,--,--,"5,704",--,No,00:57.6,7,--,00:36:37,00:36:38,26,36
Running,27/11/2023 20:32,FALSE,Tangerang Running,3.37,250,00:23:03,142,156,--,155,214,06:51,05:24,40,37,0.94,--,--,--,--,--,0,--,--,"3,568",--,No,02:32.7,4,--,00:23:03,00:23:03,28,41
Running,25/11/2023 06:08,FALSE,Tangerang Running,15.12,"1,188",01:34:08,157,181,--,158,172,06:14,05:33,28,35,1.02,--,--,--,--,--,0,--,--,"14,818",--,No,00:40.8,16,--,01:34:03,01:34:26,24,44
Running,23/11/2023 05:59,FALSE,Tangerang Running,7.06,576,00:53:51,142,191,--,154,195,07:37,04:23,19,20,0.85,--,--,--,--,--,0,--,--,"8,290",--,No,00:21.3,8,--,00:53:01,00:58:08,26,36
Running,19/11/2023 06:02,FALSE,Tangerang Running,15.67,"1,220",01:42:02,153,178,--,157,169,06:31,05:32,32,32,0.98,--,--,--,--,--,0,--,--,"15,926",--,No,04:27.8,16,--,01:41:40,01:46:31,18,36
Running,12/11/2023 05:15,TRUE,Jakarta Running,21.75,"1,872",02:43:51,161,190,--,145,238,07:32,04:37,436,436,0.91,--,--,--,--,--,0,--,--,"24,198",--,No,05:32.6,22,--,02:41:20,02:43:51,-1,45
Running,10/11/2023 06:04,FALSE,Tangerang Running,7.53,541,00:43:58,152,173,--,157,164,05:50,04:55,19,11,1.09,--,--,--,--,--,0,--,--,"6,816",--,No,03:16.1,8,--,00:43:57,00:43:58,28,43
Running,07/11/2023 19:50,FALSE,Tangerang Running,3.5,262,00:24:57,139,157,--,157,170,07:08,05:55,26,25,0.89,--,--,--,--,--,0,--,--,"3,896",--,No,04:07.3,4,--,00:24:56,00:24:57,29,41
Running,06/11/2023 06:21,FALSE,Tangerang Running,5.36,405,00:30:45,159,177,--,157,164,05:45,05:08,13,6,1.11,--,--,--,--,--,0,--,--,"4,752",--,No,02:09.1,6,--,00:30:43,00:30:45,28,42
Running,04/11/2023 06:13,FALSE,Tangerang Running,8.05,595,00:49:06,150,196,--,158,166,06:06,04:48,2,1,1.04,--,--,--,--,--,0,--,--,"7,702",--,No,00:16.8,9,--,00:49:03,00:52:58,26,35
Running,01/11/2023 06:06,FALSE,Tangerang Running,4.63,310,00:25:37,148,162,--,155,162,05:32,04:37,19,13,1.16,--,--,--,--,--,0,--,--,"3,912",--,No,03:48.2,5,--,00:25:35,00:25:37,26,35
Running,29/10/2023 05:31,FALSE,Tangerang Running,20.74,"1,670",02:15:16,161,185,--,158,170,06:31,05:51,96,98,0.97,--,--,--,--,--,0,--,--,"21,378",--,No,05:54.1,21,--,02:15:12,02:15:52,29,51
Running,28/10/2023 07:21,FALSE,Tangerang Running,3.33,218,00:31:03,118,131,--,155,160,09:20,07:54,6,10,0.69,--,--,--,--,--,0,--,--,"4,788",--,No,03:11.5,4,--,00:31:01,00:31:34,26,34
Running,25/10/2023 20:19,FALSE,Tangerang Running,4.05,386,00:32:39,150,166,--,158,170,08:04,06:57,36,39,0.79,--,--,--,--,--,0,--,--,"5,154",--,No,00:26.0,5,--,00:32:37,00:35:19,28,41
Running,22/10/2023 05:40,FALSE,Tangerang Running,15.87,"1,256",01:36:06,163,185,--,160,175,06:03,05:13,137,137,1.03,--,--,--,--,--,0,--,--,"15,318",--,No,05:23.0,16,--,01:36:04,01:36:23,16,46
Running,18/10/2023 20:04,FALSE,Tangerang Running,5.12,299,00:32:27,127,155,--,155,189,06:20,03:46,37,29,1.02,--,--,--,--,--,0,--,--,"4,904",--,No,00:58.0,6,--,00:32:25,00:32:27,27,42
Running,16/10/2023 19:43,FALSE,Tangerang Running,7.21,451,00:45:01,137,162,--,155,172,06:15,04:48,58,66,1.03,--,--,--,--,--,0,--,--,"6,900",--,No,01:26.7,8,--,00:44:57,00:45:01,27,41
Running,15/10/2023 06:18,FALSE,Tangerang Running,4.99,343,00:39:50,132,146,--,157,164,07:59,07:28,13,13,0.8,--,--,--,--,--,0,--,--,"6,276",--,No,07:51.7,5,--,00:39:42,00:39:50,30,40
Running,14/10/2023 05:55,FALSE,Tangerang Running,10.64,711,01:03:15,146,185,--,159,168,05:57,05:30,29,29,1.06,--,--,--,--,--,0,--,--,"9,972",--,No,03:55.7,11,--,01:03:12,01:04:12,26,35
Running,06/10/2023 06:15,FALSE,Tangerang Running,10.29,730,01:00:02,153,181,--,156,166,05:50,04:39,11,3,1.1,--,--,--,--,--,0,--,--,"9,284",--,No,02:11.5,11,--,00:59:57,01:00:02,27,43
Running,04/10/2023 06:27,FALSE,Tangerang Running,4.26,300,00:25:30,150,170,--,155,175,05:59,04:18,16,9,1.08,--,--,--,--,--,0,--,--,"3,920",--,No,01:43.7,5,--,00:25:27,00:25:39,27,43
Running,01/10/2023 06:42,FALSE,Tangerang Running,8.62,663,01:06:50,141,182,--,156,166,07:45,05:45,29,27,0.83,--,--,--,--,--,0,--,--,"10,386",--,No,04:47.3,9,--,01:06:48,01:10:41,26,36
Running,30/09/2023 06:14,FALSE,Tangerang Running,7.86,537,00:56:38,134,166,--,156,173,07:13,04:04,24,25,0.89,--,--,--,--,--,0,--,--,"8,798",--,No,06:01.0,8,--,00:56:37,00:58:17,26,35
Running,24/09/2023 05:15,TRUE,Tangerang Running,21.16,"1,770",02:12:30,170,191,--,157,166,06:16,05:08,101,102,1.02,--,--,--,--,--,0,--,--,"20,830",--,No,00:51.8,22,--,02:11:48,02:12:30,16,45
Running,23/09/2023 06:17,FALSE,Tangerang Running,5.06,472,00:42:13,147,169,--,156,163,08:21,05:47,8,10,0.77,--,--,--,--,--,0,--,--,"6,590",--,No,00:27.4,6,--,00:42:11,00:42:23,24,34
Running,21/09/2023 06:40,FALSE,Tangerang Running,5.23,435,00:40:23,143,163,--,156,164,07:43,04:35,16,9,0.83,--,--,--,--,--,0,--,--,"6,286",--,No,01:28.3,6,--,00:40:17,00:40:34,30,41
Running,16/09/2023 05:37,FALSE,Tangerang Running,18.02,"1,427",01:56:37,157,183,--,158,177,06:28,05:29,47,47,0.98,--,--,--,--,--,0,--,--,"18,394",--,No,00:06.6,19,--,01:56:32,02:17:00,17,35
Running,14/09/2023 06:38,FALSE,Tangerang Running,5.34,385,00:34:24,142,160,--,158,166,06:27,04:22,16,10,0.98,--,--,--,--,--,0,--,--,"5,414",--,No,02:13.5,6,--,00:34:21,00:34:30,27,43
Running,12/09/2023 08:17,FALSE,Tangerang Running,5.42,381,00:33:36,142,167,--,158,172,06:12,05:34,7,10,1.02,--,--,--,--,--,0,--,--,"5,280",--,No,02:31.5,6,--,00:33:34,00:33:42,34,44
Running,10/09/2023 06:30,FALSE,Tangerang Running,8.59,651,00:59:21,144,166,--,158,168,06:55,05:05,35,39,0.92,--,--,--,--,--,0,--,--,"9,344",--,No,03:25.0,9,--,00:59:09,01:01:26,18,37
Running,09/09/2023 06:27,FALSE,Tangerang Running,8.25,690,01:00:07,150,173,--,157,170,07:17,04:39,23,25,0.87,--,--,--,--,--,0,--,--,"9,420",--,No,01:19.9,9,--,01:00:05,01:14:07,26,35
Running,05/09/2023 06:08,FALSE,Tangerang Running,10.03,612,00:51:50,145,176,--,158,172,05:10,04:35,1,8,1.22,--,--,--,--,--,0,--,--,"8,154",--,No,00:07.3,11,--,00:51:46,00:51:50,34,42
Running,03/09/2023 05:27,FALSE,Tangerang Running,12.78,"1,216",01:45:57,152,188,--,155,166,08:17,03:55,36,40,0.78,--,--,--,--,--,0,--,--,"16,450",--,No,03:39.7,13,--,01:45:48,02:04:05,23,38
Running,01/09/2023 20:49,FALSE,Tangerang Running,5.06,388,00:31:17,150,165,--,156,172,06:11,04:53,39,45,1.04,--,--,--,--,--,0,--,--,"4,864",--,No,00:17.1,6,--,00:31:14,00:31:17,27,41
Running,29/08/2023 06:41,FALSE,Tangerang Running,5.27,335,00:32:13,135,153,--,156,162,06:07,04:54,12,3,1.05,--,--,--,--,--,0,--,--,"5,024",--,No,01:44.3,6,--,00:32:11,00:32:24,27,43
Running,27/08/2023 05:56,FALSE,Tangerang Running,14.06,"1,187",01:41:50,152,185,--,156,168,07:15,03:50,42,45,0.89,--,--,--,--,--,0,--,--,"15,868",--,No,00:24.2,15,--,01:41:34,01:51:34,24,44
Running,24/08/2023 06:31,FALSE,Tangerang Running,3.51,271,00:22:26,148,170,--,156,162,06:24,05:40,10,3,1,--,--,--,--,--,0,--,--,"3,506",--,No,03:09.4,4,--,00:22:26,00:22:37,27,45
Running,20/08/2023 05:19,FALSE,Jakarta Running,21.21,"1,906",02:27:12,167,185,--,153,171,06:56,05:24,322,317,0.94,--,--,--,--,--,0,--,--,"22,658",--,No,01:21.0,22,--,02:27:05,02:27:12,-4,40
Running,17/08/2023 06:09,FALSE,Tangerang Running,8.5,635,00:56:45,145,169,--,156,164,06:40,05:56,41,39,0.96,--,--,--,--,--,0,--,--,"8,888",--,No,03:36.8,9,--,00:56:42,00:56:45,30,42
Running,15/08/2023 06:14,FALSE,Tangerang Running,5.23,358,00:31:24,143,170,--,156,162,06:00,05:07,12,12,1.07,--,--,--,--,--,0,--,--,"4,848",--,No,01:30.7,6,--,00:31:23,00:31:38,33,45
Running,12/08/2023 05:18,FALSE,Tangerang Running,15.94,"1,227",01:45:11,153,179,--,157,173,06:36,05:51,66,65,0.97,--,--,--,--,--,0,--,--,"16,488",--,No,06:10.6,16,--,01:45:06,01:46:22,16,35
Running,11/08/2023 06:09,FALSE,Tangerang Running,8.46,557,00:55:03,138,153,--,158,166,06:31,05:51,15,16,0.97,--,--,--,--,--,0,--,--,"8,686",--,No,03:00.3,9,--,00:55:01,00:55:14,33,44
Running,10/08/2023 06:20,FALSE,Tangerang Running,7.45,590,00:48:20,153,174,--,156,162,06:29,05:41,18,12,0.99,--,--,--,--,--,0,--,--,"7,546",--,No,02:52.6,8,--,00:48:17,00:48:32,27,42
Running,04/08/2023 06:02,TRUE,Tangerang Running,10.03,776,00:58:35,163,185,--,157,164,05:51,05:12,8,16,1.09,--,--,--,--,--,0,--,--,"9,184",--,No,00:08.3,11,--,00:58:33,00:58:45,33,44
Running,03/08/2023 06:34,FALSE,Tangerang Running,6.4,500,00:42:12,150,171,--,156,164,06:36,06:06,8,--,0.97,--,--,--,--,--,0,--,--,"6,570",--,No,02:27.3,7,--,00:42:09,00:42:22,27,42
Running,30/07/2023 05:37,FALSE,Tangerang Running,17.61,"1,467",01:58:14,162,179,--,157,166,06:43,05:57,75,73,0.95,--,--,--,--,--,0,--,--,"18,498",--,No,04:06.6,18,--,01:58:10,02:08:57,16,36
