Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5561720919,"May 23, 2021, 10:21:07 AM",Afternoon Run,Run,,2021,5.38,,,FALSE,,,activities/5918748134.gpx.gz,,,2021,1872,5382,5.099999905,2.875,14.80000019,28,-26.39999962,-5.599999905,25.60000038,-0.245261982,,,117,81.92435455,,,,,,,,,,,,,,,,,,,,,0,,1,5402.200195,1621763968,2,29.29999924,35.88000107,25.73999977,0.810000002,1007.799988,2.25,5.369999886,283,0.0416,1621722880,1621766784,0.389999986,,,0.029999999,5,0.75999999,16093,0,256.6000061,,,,,,,,,,,,,,,,,,
5561720921,"May 7, 2021, 10:02:38 AM",Afternoon Swim,Swim,,10,0,,,FALSE,,,activities/5918748119.fit.gz,,,10,0,0,0,0,0,,,,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720923,"Jun 21, 2021, 9:56:42 AM",Afternoon Run,Run,,4141,5.74,,,FALSE,,,activities/5918748139.gpx.gz,,,4141,2554,5745.5,6.099999905,2.249608517,128.3999939,40,-93.59999847,16.39999962,43,1.538595438,,,103,74.46526337,,,,,,,,,,,,,,,,,,,,,0,,1,6373.100098,1624265984,3,30.44000053,36.77000046,24.89999962,0.720000029,1008.299988,2.49000001,4.860000134,226,0.085000001,1624228864,1624272768,0.379999995,,,0.050000001,5,0.939999998,16093,1,262.5,,,,,,,,,,,,,,,,,,
5561720926,"May 31, 2021, 9:55:06 AM",Afternoon Run,Run,,4025,7.74,,,FALSE,,,activities/5918748175.gpx.gz,,,4025,3490,7746.799805,7.599999905,2.219713449,18.20000076,28.60000038,-18.39999962,-5.800000191,6.800000191,-0.134248987,,,107,72.88195801,,,,,,,,,,,,,,,,,,,,,0,,1,7754.299805,1622451584,2,30.62999916,38.20999908,25.79000092,0.75,1005.799988,2.309999943,4.139999866,301,0.143099993,1622414208,1622458112,0.689999998,,,0.07,5,0.860000014,16093,1,258.1000061,,,,,,,,,,,,,,,,,,
5561720931,"Apr 24, 2021, 10:33:42 AM",Afternoon Ride,Ride,,1361,5.85,,,FALSE,,,activities/5918748159.gpx.gz,,,1361,1361,5857.899902,7.099999905,4.304114819,9.199999809,17.39999962,2,12.80000019,15.60000038,-0.139981911,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,1619258368,3,30.05999947,36.15000153,24.87000084,0.74000001,1008.099976,2.390000105,5.099999905,307,0.055,1619217408,1619261184,0.400000006,,,0.02,5,0.980000019,16093,0,259.7999878,,,,,,,,,,,,,,,,,,
5561720937,"Apr 9, 2021, 10:01:12 AM",Afternoon Run,Run,,1772,1.84,,,FALSE,,,activities/5918748129.gpx.gz,,,1772,610,1845.400024,5.400000095,3.025245905,5.400000095,48.79999924,-32.79999924,12.39999962,1.5,-2.351793766,,,88,79.86490631,,,,,,,,,,,,,,,,,,,,,0,,1,1834.400024,1617962368,2,29.60000038,34.63999939,24.12999916,0.730000019,1007.299988,2.390000105,3.940000057,338,0.0491,1617921664,1617965440,0.920000017,,,0.029999999,5,0.75,16093,0,264.1000061,,,,,,,,,,,,,,,,,,
5561720952,"May 21, 2021, 10:27:35 AM",Afternoon Swim,Swim,,1657,"1,200",,,FALSE,,,activities/5918748128.fit.gz,,,1657,1468,1200,4.199999809,0.817438722,0,,,,0,0,,,28,18.50093079,,,,,215,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720958,"Jun 24, 2021, 10:02:01 AM",Afternoon Run,Run,,1645,5.33,,,FALSE,,,activities/5918748143.gpx.gz,,,1645,1645,5335,6.699999809,3.243161201,6.199999809,14.39999962,-14.19999981,-4.599999905,6.900000095,-0.153701961,,,102,81.03586578,,,,,,,,,,,,,,,,,,,,,0,,1,5334.200195,1624528768,2,28.37000084,33.29000092,24.87999916,0.810000002,1008.700012,1.090000033,1.769999981,3,0.063500002,1624487936,1624531968,0.49000001,,,0.079999998,5,0.699999988,16093,0,262.1000061,,,,,,,,,,,,,,,,,,
5561720963,"Apr 13, 2021, 9:19:10 AM",Afternoon Run,Run,,4019,6.41,,,FALSE,,,activities/5918748153.gpx.gz,,,4019,2717,6416.700195,5.300000191,2.361685753,232.3999939,142,-70.40000153,44.20000076,49.09999847,1.408823848,,,123,73.76332092,,,,,,,,,,,,,,,,,,,,,0,,1,7512,1618304384,5,28.12999916,33.68999863,25.73999977,0.870000005,1009.5,0.889999986,2.039999962,315,0.540799975,1618267136,1618310912,0.039999999,,,0.330000013,5,1,15485,2,260.8999939,,,,,,,,,,,,,,,,,,
5561720964,"May 24, 2021, 9:53:35 AM",Afternoon Run,Run,,3845,10.07,,,FALSE,,,activities/5918748160.gpx.gz,,,3845,3569,10077.2002,4.599999905,2.823535919,127.5999985,146.1999969,-33.40000153,-5.800000191,35,-0.184575081,,,110,81.11304474,,,,,,,,,,,,,,,,,,,,,0,,1,10423.5,1621846784,2,31.87999916,40.02000046,25.69000053,0.699999988,1007,2.880000114,3.900000095,288,0.0436,1621809280,1621853184,0.430000007,,,0.01,5,0.75,16093,1,257.7000122,,,,,,,,,,,,,,,,,,
