Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,25/08/2024 04:31,Gianyar Running,42.44,"2,928",04:02:55,153,164,5,178,244,05:43,04:57,335,329,0.98,8.4,8.2,247,05:41,272,0,269,410,"43,100",No,02:26.6,43,04:02:44,04:02:55,9,135
Running,22/08/2024 06:01,Tangerang Running,7.5,497,00:50:11,122,142,2.8,172,240,06:41,05:31,6,4,0.86,9.1,7.8,258,06:38,230,0,226,284,"8,700",No,03:50.4,8,00:49:35,00:53:12,30,34
Running,20/08/2024 06:13,Tangerang Running,8.37,541,00:55:09,121,127,2.7,176,231,06:35,04:35,9,29,0.86,9.1,7.8,258,06:34,230,0,230,315,"9,738",No,02:27.4,9,00:55:03,00:55:09,35,41
Running,18/08/2024 06:00,Tangerang Running,10.05,670,00:57:21,139,158,3.8,181,190,05:42,04:27,10,27,0.96,8.4,8,245,05:44,264,0,262,342,"10,338",No,00:10.7,11,00:57:19,00:57:21,27,34
Running,17/08/2024 05:00,Tangerang - Quality Session,32.01,"2,102",03:06:18,140,157,5,179,191,05:49,04:37,27,48,0.95,8.4,8,246,05:49,259,0,257,351,"33,342",No,00:05.1,33,03:05:37,03:09:31,26,32
Running,16/08/2024 06:16,Tangerang Running,12.04,770,01:21:28,121,128,3,173,186,06:46,05:54,14,34,0.85,9.3,7.9,263,06:46,225,0,224,279,"14,184",No,00:17.1,13,01:21:23,01:21:28,36,44
Running,15/08/2024 05:24,Tangerang Running,25.26,"1,627",02:31:11,135,155,4.3,176,184,05:59,04:45,26,21,0.94,8.6,8.2,251,05:59,254,0,252,338,"26,608",No,01:28.6,26,02:30:58,02:44:04,34,41
Running,14/08/2024 05:13,Tangerang - Quality Session,10.12,672,01:05:28,130,155,3.5,159,196,06:28,04:39,7,5,0.94,8.5,7.7,248,06:28,253,0,222,342,"10,936",No,00:10.5,18,01:03:59,01:13:25,30,34
Running,13/08/2024 06:10,Tangerang Running,11.16,713,01:14:40,120,133,2.9,174,243,06:41,05:48,11,31,0.85,9.2,7.9,260,06:40,229,0,227,282,"13,020",No,01:09.2,12,01:14:35,01:14:40,34,41
Running,10/08/2024 04:32,Tangerang Running,22.53,"1,511",02:09:34,143,167,4.9,177,190,05:45,04:05,31,25,0.97,8.4,8.1,247,05:45,264,0,260,384,"23,058",No,02:46.8,23,02:09:03,02:21:32,33,44
Running,09/08/2024 06:08,Tangerang Running,9.01,579,01:01:13,120,131,2.7,172,180,06:47,05:46,11,31,0.85,9.4,8,266,06:48,227,0,225,265,"10,540",No,00:06.1,10,01:01:08,01:01:13,36,45
Running,07/08/2024 05:31,Tangerang Running,12.21,795,01:10:49,135,154,3.9,173,192,05:48,04:35,19,15,0.99,8.2,8,242,05:47,270,0,257,369,"12,380",No,01:18.5,13,01:09:43,01:16:27,23,34
Running,07/08/2024 05:27,Tangerang - Sprint,0.07,4,00:45.6,90,98,0,90,171,11:32,06:16,--,--,0.77,8.7,6.4,302,10:56,96,0,84,262,86,No,00:01.4,6,00:00:44,00:00:46,30,30
Running,07/08/2024 05:24,Tangerang Running,0,--,00:03.4,67,67,0,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,No,00:03.4,1,00:00:00,00:00:19,30,30
Running,06/08/2024 06:00,Tangerang Running,14.63,941,01:37:58,123,136,3.2,175,190,06:42,05:15,13,34,0.85,9.2,7.9,261,06:41,229,0,227,280,"17,098",No,04:12.6,15,01:37:49,01:38:23,35,40
