Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,19/01/2025 06:03,Jakarta - Recovery Run 10Km,10.08,657,01:08:16,127,160,3,163,192,06:46,04:22,32,41,0.88,9.2,7.9,274,06:47,234,0,219,343,"11,498",No,00:24.4,11,01:08:09,01:08:16,10,25
Running,18/01/2025 05:28,Tangerang - Longrun,27.02,"1,787",02:23:05,155,168,5,180,190,05:18,04:31,37,36,1.04,8.1,8.4,240,05:18,290,0,286,437,"25,584",No,00:02:00,35,02:22:51,02:27:24,32,40
Running,16/01/2025 06:21,Tangerang - Easy Run 10Km,5.51,357,00:33:09,130,142,2.8,180,190,06:01,04:01,1,3,0.92,8.6,7.9,249,06:01,250,0,250,401,"5,946",No,03:07.8,6,00:33:08,00:33:25,34,39
Running,15/01/2025 06:25,Tangerang - Tempo,12.01,795,01:05:52,148,169,4.5,178,189,05:29,04:12,4,4,1.02,8.2,8.3,243,05:28,282,0,276,371,"11,724",No,03:01.6,14,01:05:44,01:07:46,29,32
Running,14/01/2025 06:18,Tangerang - Easy Run 7Km,7.06,459,00:48:28,123,143,2.6,172,188,06:52,05:37,7,7,0.85,9.4,8,265,06:51,226,0,224,284,"8,352",No,00:21.3,8,00:48:25,00:48:42,33,40
Running,12/01/2025 06:10,Jakarta Running,10.21,693,00:58:33,147,165,4,181,192,05:44,04:34,20,25,0.95,8.3,7.9,243,05:44,263,0,261,339,"10,590",No,00:58.4,11,00:58:22,00:58:33,8,22
Running,11/01/2025 05:15,Tangerang - Long Run,20.25,"1,381",02:03:35,143,160,4.5,176,186,06:06,05:12,14,14,0.93,8.8,8.1,254,06:06,249,0,248,314,"21,754",No,03:38.4,21,02:03:25,02:04:20,24,31
Running,05/01/2025 07:44,Xiamen Marathon 2025,42.61,"2,672",03:45:43,152,162,5,179,250,05:18,04:16,158,161,1.05,7.8,8.1,236,05:16,291,0,284,374,"40,684",No,00:59.4,45,03:44:48,03:45:43,14,72
Running,02/01/2025 06:14,Tangerang - Easy Run 12.25k,12.25,804,01:19:06,130,142,3.3,173,197,06:27,04:25,10,12,0.89,9.1,8,259,06:28,236,0,234,355,"13,762",No,01:36.8,13,01:18:48,01:20:22,33,40
Running,31/12/2024 06:20,Tangerang - Tempo,8.03,514,00:40:12,154,172,4.3,185,191,05:00,04:36,7,14,1.07,7.7,8.2,231,05:02,299,0,298,342,"7,370",No,00:08.2,9,00:40:09,00:40:12,20,28
